Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;0;1,86;-121,11;416;-16672;-284;-349;-7;38;58,12;1858,52;0,02
60;20;1,89;-117,31;456;-16636;-84;-329;-3;53;58,08;1916,61;-0,04
60;40;1,9;-119,48;436;-16612;-396;-349;-39;66;58,11;1974,72;0,03
60;60;1,94;-118,93;564;-16632;-316;-337;-22;74;58,09;2032,81;-0,02
60;80;1,92;-117,56;528;-16600;-244;-329;-30;54;58,09;2148,99;0,0
60;100;1,91;-118,09;408;-16652;-280;-341;-13;37;58,08;2207,07;-0,01
60;120;1,88;-116,9;468;-16684;-188;-361;-11;64;58,11;2265,17;0,03
60;140;1,87;-117,87;432;-16596;-308;-326;-19;58;58,12;2323,3;0,02
60;160;1,89;-118,18;524;-16576;-364;-342;-24;62;58,13;2439,57;-0,01
60;180;1,93;-118,53;588;-16672;-444;-343;-13;60;58,1;2497,67;-0,02
60;200;1,92;-117,83;484;-16620;-204;-327;9;42;58,08;2555,75;-0,02
60;220;1,92;-117,74;488;-16668;-212;-350;-35;44;58,08;2613,83;-0,0
60;240;1,9;-117,53;396;-16656;-160;-344;-25;52;58,08;2730,0;-0,02
60;260;1,9;-118,33;492;-16616;-284;-337;-28;43;58,11;2788,11;0,03
60;280;1,9;-118,03;492;-16636;-220;-345;-37;49;58,1;2846,21;-0,0
60;300;1,89;-118,27;424;-16576;-264;-337;6;54;58,1;2904,31;-0,01
60;320;1,86;-117,1;464;-16656;-132;-361;-3;53;58,13;3020,56;0,02
60;340;1,87;-117,84;432;-16632;-324;-324;-13;56;58,13;3078,69;0,0
60;360;1,88;-117,86;452;-16628;-276;-336;-20;57;58,12;3136,81;-0,01
60;380;1,86;-117,25;472;-16640;-172;-326;-6;59;58,14;3194,95;0,02
60;400;1,84;-116,58;400;-16616;-228;-359;-1;63;58,15;3311,23;0,01
60;420;1,86;-116,42;500;-16604;-360;-328;-18;66;58,15;3369,38;0,0
60;440;1,84;-116,26;444;-16644;-212;-352;-8;58;58,15;3427,53;0,0
60;460;1,85;-115,71;500;-16584;-160;-336;-36;41;58,15;3485,68;-0,01
60;480;1,84;-115,38;516;-16596;-132;-338;-27;58;58,16;3601,99;0,01
60;500;1,85;-115,6;444;-16532;-340;-335;-22;43;58,16;3660,15;-0,01
60;520;1,82;-115,13;432;-16536;-132;-317;-7;54;58,17;3718,32;0,01
60;540;1,82;-115,9;416;-16528;-356;-323;-10;50;58,19;3776,51;0,02
60;560;1,81;-116,08;420;-16536;-260;-340;-15;56;58,18;3892,87;-0,0
60;580;1,83;-116,19;548;-16556;-296;-341;-15;53;58,18;3951,06;0,0
60;600;1,85;-116,25;556;-16652;-316;-357;1;28;58,16;4009,22;-0,02
60;620;1,85;-116,53;432;-16688;-316;-331;-18;68;58,15;4067,37;-0,01
60;640;1,85;-116,79;436;-16516;-360;-343;-31;49;58,15;4183,67;-0,0
60;660;1,87;-117,12;484;-16648;-412;-351;-8;41;58,14;4241,81;-0,01
60;680;1,88;-117,3;492;-16660;-200;-362;-16;76;58,12;4299,93;-0,02
