Gas,Position
0,91.77
0,34.94
0,3.53
0,-8.37
0,-11.80
0,-12.60
0,-12.42
0,-11.57
0,-10.40
0,-9.04
0,-7.63
0,-6.57
0,-5.16
0,-3.90
0,-2.75
0,-1.63
0,-0.71
1,0.11
1,1.19
1,1.93
1,2.37
1,2.83
1,3.27
1,3.52
1,3.84
1,4.12
1,4.14
1,4.29
1,4.26
1,4.34
1,4.31
1,4.18
1,4.14
1,4.25
2,4.23
2,4.21
2,4.08
2,4.01
2,3.93
2,3.97
2,3.97
2,3.95
2,3.86
2,3.71
2,3.84
2,3.83
2,3.77
2,3.79
2,3.77
2,3.80
2,3.85
3,3.88
3,3.85
3,3.92
3,3.92
3,3.94
3,4.03
3,4.06
3,3.81
3,3.78
3,3.77
3,3.77
3,3.80
3,3.82
3,3.84
3,3.85
3,3.81
3,3.81
4,3.93
4,3.80
4,3.94
4,3.94
4,4.04
4,4.03
4,4.13
4,4.08
4,4.04
4,4.07
4,4.01
4,4.05
4,4.04
4,4.03
4,3.91
4,4.01
4,3.95
5,4.11
5,3.83
5,3.75
5,3.81
5,3.85
5,3.95
5,3.91
5,3.87
5,3.92
5,4.13
5,4.16
5,4.04
5,3.85
5,3.81
5,3.92
5,3.92
5,3.97
6,4.11
6,4.02
6,4.08
6,4.00
6,3.92
6,3.87
6,3.91
6,3.98
6,3.88
6,3.90
6,3.91
6,3.82
6,3.84
6,3.83
6,3.81
6,3.71
6,3.90
7,3.87
7,3.82
7,3.87
7,3.91
7,3.86
7,3.85
7,3.95
7,3.91
7,3.89
7,3.86
7,3.88
7,3.93
7,4.03
7,3.99
7,4.00
7,4.07
7,3.98
8,3.82
8,3.75
8,3.79
8,3.85
8,3.86
8,3.80
8,3.85
8,3.88
8,3.80
8,3.84
8,4.08
8,3.91
8,4.00
8,3.97
8,3.91
8,3.97
8,3.88
9,3.99
9,3.71
9,3.85
9,3.90
9,3.91
9,3.94
9,3.95
9,3.87
9,3.90
9,3.89
9,3.80
9,3.91
9,3.87
9,3.81
9,3.80
9,3.89
9,3.82
10,3.87
10,3.93
10,4.09
10,4.12
10,4.02
10,4.07
10,3.96
10,4.01
10,4.03
10,4.06
10,4.04
10,4.05
10,3.94
10,3.99
10,3.81
10,3.90
10,3.98
