Gas;Position
0;7,06
0;6,33
0;6,12
0;5,85
0;5,58
0;5,39
0;5,23
0;5,03
0;4,89
0;4,74
0;4,52
0;4,51
0;4,54
0;4,6
0;4,47
0;4,42
0;4,4
0;4,31
0;4,24
0;4,2
0;4,15
0;4,23
0;4,29
0;4,33
0;4,26
0;4,33
0;4,31
0;4,23
0;4,25
0;4,22
0;4,28
0;4,28
0;4,3
0;4,32
0;4,33
0;4,31
0;4,34
0;4,39
0;4,34
0;4,33
0;4,36
0;4,35
0;4,33
0;4,34
0;4,34
0;4,33
0;4,34
0;4,36
0;4,36
0;4,29
0;4,29
50;3,03
50;19,65
50;26,1
50;25,25
50;34,44
50;37,81
50;41,13
50;47,41
50;50,31
50;55,45
50;58,56
50;55,18
50;57,16
50;56,16
50;51,08
50;51,34
50;49,64
50;43,77
50;45,15
50;45,08
50;46,98
50;49,94
50;49,3
50;50,23
50;51,79
50;50,3
50;51,06
50;52,86
50;49,19
50;49,48
50;49,01
50;47,36
50;47,29
50;47,17
50;46,26
50;41,06
50;43,09
50;42,94
50;39,94
50;43,16
50;40,26
50;43,35
50;44,81
50;42,23
50;44,14
50;42,21
50;43,37
50;42,31
50;41,67
50;43,2
100;-11,96
100;-0,33
100;4,32
100;8,6
100;14,85
100;19,59
100;24,38
100;29,33
100;35,03
100;40,27
100;43,27
100;46,12
100;48,19
100;47,41
100;46,71
100;44,65
100;41,64
100;38,37
100;35,51
100;32,56
100;30,97
100;29,95
100;31,22
100;31,25
100;31,9
100;32,9
100;34,76
100;36,54
100;37,7
100;39,1
100;38,68
100;38,47
100;38,62
100;37,18
100;35,15
100;33,13
100;30,84
100;29,07
100;28,39
100;29,36
100;28,98
100;27,58
100;27,13
100;27,74
100;30,05
100;30,29
100;29,78
100;29,38
100;28,88
100;30,38
