Gas;PositionX;PositionY;Ax Raw
0;94,13;-135,57;556
0;50,67;-141,21;520
0;34,75;-143,71;532
0;25,92;-144,82;520
0;19,94;-146,15;496
0;15,31;-146,28;512
0;11,61;-147,33;504
0;8,45;-147,94;472
0;5,84;-148,32;512
0;3,68;-149,42;444
0;1,95;-150,03;484
0;0,59;-150,52;496
0;-0,44;-151,22;484
0;-1,22;-150,57;592
0;-1,83;-151,51;424
0;-2,19;-151,23;588
0;-2,43;-150,6;604
0;-2,64;-151,79;400
0;-2,76;-151,37;536
0;-2,74;-151,09;592
0;-2,73;-151,89;436
0;-2,69;-150,94;608
0;-2,58;-150,73;580
0;-2,56;-151,18;420
0;-2,46;-151,04;536
0;-2,36;-151,17;488
0;-2,27;-151,57;452
0;-2,15;-151,33;536
0;-2,04;-151,67;456
0;-1,9;-151,9;500
0;-1,82;-152,28;412
0;-1,72;-151,91;524
0;-1,63;-151,46;532
0;-1,47;-151,53;552
0;-1,39;-150,5;596
0;-1,27;-150,76;480
0;-1,2;-151,01;428
0;-1,08;-150,9;548
0;-0,97;-150,8;540
0;-0,9;-150,61;512
0;-0,78;-150,34;584
0;-0,65;-150,42;564
0;-0,6;-150,92;384
0;-0,54;-150,76;492
0;-0,46;-151,26;416
0;-0,35;-151,79;440
0;-0,26;-152,08;468
0;-0,18;-152,27;472
0;-0,1;-152,23;504
0;-0,08;-152,18;432
0;0,0;-152,14;520
0;0,1;-152,2;548
0;0,18;-152,5;460
0;0,22;-152,37;480
0;0,29;-152,56;456
0;0,34;-152,53;496
0;0,39;-152,14;552
0;0,42;-151,98;480
0;0,48;-152,46;384
0;0,51;-151,9;560
0;0,56;-151,66;540
0;0,59;-151,35;532
0;0,64;-151,05;576
0;0,71;-151,0;548
0;0,79;-151,23;520
0;0,87;-151,29;548
0;0,93;-151,16;580
0;0,97;-151,08;520
0;1,01;-151,21;480
0;1,03;-151,45;404
0;1,09;-151,53;508
0;1,11;-151,3;516
0;1,13;-151,23;492
0;1,16;-151,15;488
0;1,19;-151,29;456
0;1,23;-151,29;500
0;1,26;-151,29;484
0;1,31;-151,29;540
0;1,37;-151,2;600
0;1,42;-151,7;380
0;1,46;-151,6;552
0;1,51;-151,62;532
0;1,54;-151,6;500
0;1,58;-151,59;528
0;1,58;-151,32;504
0;1,63;-151,33;548
0;1,68;-151,2;596
0;1,71;-151,33;468
0;1,73;-151,23;516
0;1,77;-150,81;648
0;1,81;-150,76;568
0;1,85;-150,91;496
0;1,86;-150,78;496
0;1,88;-150,97;432
0;1,9;-150,9;520
0;1,9;-150,95;448
0;1,94;-151,23;440
0;1,97;-151,62;376
0;2,01;-151,56;584
0;2,03;-151,52;500
0;2,08;-151,66;504
0;2,09;-151,48;548
0;2,13;-151,53;516
0;2,14;-151,64;444
0;2,17;-151,49;584
0;2,18;-151,29;548
0;2,2;-151,08;532
0;2,22;-150,91;556
0;2,25;-150,6;652
0;2,28;-150,66;524
0;2,29;-150,43;540
0;2,32;-150,39;576
0;2,34;-150,38;500
0;2,36;-150,21;564
0;2,38;-150,28;504
0;2,38;-150,07;508
0;2,4;-149,92;560
0;2,41;-149,85;516
0;2,43;-149,84;512
0;2,44;-149,92;480
0;2,47;-149,63;628
0;2,48;-149,28;620
0;2,5;-149,27;532
0;2,52;-149,42;476
0;2,54;-149,47;516
0;2,56;-149,67;456
0;2,58;-149,64;544
0;2,6;-149,59;532
0;2,62;-149,65;496
0;2,63;-149,81;464
0;2,66;-149,79;544
0;2,66;-149,77;512
0;2,66;-149,8;440
0;2,67;-149,61;560
0;2,69;-149,6;516
0;2,7;-149,72;488
0;2,71;-149,51;580
0;2,72;-149,59;456
0;2,76;-149,91;456
0;2,78;-150,04;496
0;2,78;-150,18;420
0;2,8;-150,47;432
0;2,81;-150,54;484
0;2,83;-150,55;516
0;2,84;-150,64;468
0;2,87;-150,81;500
0;2,88;-150,96;428
0;2,88;-150,83;524
0;2,9;-151,01;444
0;2,92;-151,04;504
0;2,93;-150,96;528
0;2,93;-150,82;532
0;2,94;-150,89;464
0;2,96;-150,87;540
0;2,98;-151,08;452
0;3,0;-151,07;520
0;3,01;-151,08;512
0;3,03;-150,96;576
0;3,04;-151,2;404
0;3,07;-151,36;500
0;3,09;-151,23;580
0;3,09;-151,09;512
0;3,13;-151,04;600
0;3,13;-151,18;440
0;3,15;-150,97;612
0;3,15;-151,06;460
0;3,14;-151,06;448
0;3,14;-151,04;472
0;3,15;-151,02;520
0;3,15;-151,09;456
0;3,16;-151,18;500
0;3,16;-151,04;520
0;3,17;-150,81;584
0;3,18;-151,03;436
0;3,2;-150,93;568
0;3,22;-151,08;484
0;3,22;-151,05;496
0;3,22;-150,68;616
0;3,25;-150,81;516
0;3,26;-150,78;528
0;3,26;-150,65;536
0;3,28;-150,85;464
0;3,29;-150,74;552
0;3,29;-150,67;500
0;3,31;-150,82;496
0;3,31;-150,72;540
0;3,31;-150,82;452
0;3,32;-150,68;540
0;3,34;-150,54;604
0;3,34;-150,52;508
0;3,33;-150,49;488
0;3,34;-150,14;632
0;3,34;-149,97;560
0;3,36;-150,12;476
0;3,38;-150,28;528
0;3,37;-150,36;436
0;3,41;-150,35;616
0;3,42;-150,46;500
0;3,42;-150,51;476
0;3,42;-150,38;524
0;3,42;-150,39;508
0;3,42;-150,44;472
0;3,44;-150,39;556
0;3,44;-150,45;492
0;3,46;-150,59;512
0;3,47;-150,52;552
0;3,48;-150,48;564
0;3,5;-150,34;616
0;3,5;-150,43;480
0;3,5;-150,5;480
0;3,49;-150,37;528
0;3,51;-150,58;472
0;3,52;-150,48;572
0;3,52;-150,47;532
0;3,53;-150,51;532
0;3,53;-150,72;424
0;3,54;-150,71;524
0;3,54;-150,47;616
0;3,56;-150,5;552
0;3,55;-150,35;512
0;3,54;-150,41;476
0;3,54;-150,43;492
0;3,54;-150,28;564
0;3,52;-150,1;528
0;3,52;-150,01;540
0;3,52;-150,1;468
0;3,52;-150,28;460
0;3,52;-150,35;464
0;3,5;-150,05;568
0;3,5;-149,99;520
0;3,51;-149,67;672
0;3,48;-149,43;488
0;3,47;-149,52;440
