Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
0;24,33;-56,13;600;-16752;-752;-352;-7;109
0;18,45;-80,09;680;-16724;-836;-367;6;114
0;15,06;-90,95;692;-16664;-560;-331;26;97
0;12,9;-100,18;580;-16656;-716;-356;-25;95
0;11,43;-106,26;676;-16684;-756;-344;-8;98
0;10,29;-111,34;576;-16604;-732;-365;-42;90
0;9,42;-115,53;600;-16720;-804;-344;-7;98
0;8,74;-119,06;644;-16680;-884;-340;11;100
0;8,11;-121,98;548;-16760;-740;-345;-7;111
0;7,53;-124,04;540;-16712;-616;-367;-5;92
0;7,0;-125,93;528;-16652;-612;-343;-7;93
0;6,57;-128,31;512;-16700;-768;-361;7;100
0;6,18;-130,04;600;-16744;-756;-341;1;94
0;5,8;-131,61;540;-16692;-672;-348;38;104
0;5,45;-133,0;560;-16716;-692;-341;-7;99
0;5,14;-134,31;584;-16656;-716;-334;10;97
0;4,89;-135,57;680;-16588;-848;-345;-22;77
0;4,63;-136,2;672;-16728;-688;-337;4;111
0;4,37;-137,57;524;-16668;-728;-346;-15;84
0;4,11;-137,8;616;-16788;-572;-346;9;76
0;3,9;-138,55;632;-16656;-720;-332;-4;104
0;3,72;-140,18;500;-16648;-864;-346;8;87
0;3,51;-140,38;616;-16620;-604;-360;-20;81
0;3,37;-140,67;696;-16768;-728;-325;-7;94
0;3,24;-141,3;660;-16648;-796;-347;27;98
0;3,13;-141,89;664;-16688;-804;-362;-4;99
0;3,01;-142,7;576;-16644;-784;-358;5;110
0;2,88;-143,09;600;-16576;-704;-337;-10;96
0;2,76;-143,11;596;-16672;-624;-349;14;108
0;2,66;-143,24;620;-16692;-684;-337;17;124
0;2,58;-143,53;600;-16724;-716;-346;-1;127
0;2,55;-143,27;788;-16604;-756;-355;-17;102
0;2,48;-143,16;648;-16640;-664;-359;-25;122
0;2,45;-143,26;688;-16680;-772;-352;-15;107
0;2,4;-143,38;636;-16636;-724;-349;2;123
0;2,33;-143,68;560;-16732;-688;-342;-2;86
0;2,28;-143,46;668;-16676;-664;-342;-17;89
0;2,21;-143,41;540;-16756;-584;-347;-23;93
0;2,19;-143,89;576;-16708;-792;-352;1;93
0;2,15;-143,79;616;-16880;-656;-357;-28;87
0;2,12;-143,83;604;-16632;-696;-336;-2;93
0;2,1;-144,05;588;-16676;-728;-351;8;89
0;2,07;-144,53;536;-16644;-760;-339;20;104
0;2,05;-144,13;644;-16696;-624;-346;-3;84
0;2,06;-144,15;676;-16688;-780;-340;-19;105
0;2,08;-144,05;680;-16728;-752;-362;-20;90
0;2,08;-144,32;580;-16628;-768;-358;-2;86
0;2,08;-144,34;624;-16668;-732;-354;-12;111
0;2,08;-144,71;548;-16660;-772;-342;7;94
0;2,08;-144,76;608;-16688;-736;-338;0;101
0;2,05;-144,04;656;-16624;-544;-346;15;107
0;2,06;-144,0;632;-16656;-728;-351;0;106
0;2,08;-143,91;680;-16588;-760;-339;2;109
0;2,07;-143,41;648;-16608;-588;-340;-12;109
0;2,06;-143,37;588;-16740;-672;-349;-22;93
0;2,06;-142,96;664;-16716;-628;-341;13;106
0;2,09;-143,25;592;-16752;-804;-347;1;103
0;2,1;-143,35;616;-16632;-756;-365;4;90
0;2,1;-143,43;588;-16612;-716;-339;15;113
0;2,11;-143,54;584;-16732;-732;-340;-25;121
0;2,1;-143,61;540;-16592;-668;-356;4;109
0;2,1;-143,73;560;-16696;-708;-349;17;84
0;2,11;-143,5;648;-16728;-672;-339;-1;92
0;2,09;-143,1;596;-16680;-564;-341;17;113
0;2,13;-143,34;616;-16688;-836;-359;-2;99
0;2,14;-143,49;580;-16656;-752;-357;5;83
0;2,12;-143,16;580;-16616;-568;-340;-1;99
0;2,12;-143,31;528;-16716;-684;-351;30;106
0;2,14;-143,14;664;-16672;-716;-344;-12;108
0;2,15;-143,41;536;-16728;-752;-334;-4;82
0;2,15;-143,07;636;-16668;-620;-369;0;99
0;2,17;-143,23;580;-16644;-760;-351;3;102
0;2,17;-143,19;580;-16780;-672;-349;4;89
0;2,18;-143,19;592;-16724;-708;-339;-3;95
0;2,21;-143,23;672;-16600;-820;-340;8;78
0;2,24;-142,78;756;-16776;-688;-358;15;85
0;2,26;-142,42;712;-16752;-672;-334;9;107
0;2,28;-142,61;604;-16688;-804;-339;12;108
0;2,31;-142,44;716;-16776;-768;-337;-2;104
0;2,31;-142,04;652;-16784;-596;-348;-16;105
0;2,33;-142,0;632;-16764;-724;-348;-5;81
0;2,34;-142,2;580;-16644;-780;-349;25;103
0;2,33;-142,17;524;-16676;-608;-344;14;91
0;2,33;-141,99;632;-16744;-664;-327;-2;99
0;2,34;-141,85;608;-16724;-648;-347;17;117
0;2,36;-141,94;628;-16632;-788;-362;5;105
0;2,35;-141,75;576;-16804;-596;-343;-13;98
0;2,36;-141,9;544;-16748;-708;-338;-4;92
