Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
40;5,38;-132,82;660;-16584;-568;-340;-8;72
40;4,52;-135,14;644;-16628;-664;-331;-4;84
40;4,18;-136,04;620;-16688;-672;-327;-44;84
40;3,87;-137,62;648;-16724;-856;-331;-58;99
40;3,61;-138,39;664;-16648;-884;-309;-28;90
40;3,32;-139,02;616;-16664;-660;-311;-35;69
40;3,12;-139,71;616;-16656;-840;-333;-34;101
40;5,97;131,55;-29039;-15543;-25738;616;-16656;-840
40;5,5;-142,71;648;-16632;-592;-328;-22;86
40;5,18;-142,85;648;-16680;-740;-326;-27;70
40;4,79;-143,19;584;-16596;-700;-322;-30;84
40;4,51;-143,3;624;-16536;-620;-331;-45;81
40;4,25;-142,95;744;-16684;-716;-316;-45;77
40;4,03;-143,13;712;-16708;-684;-329;-35;92
40;3,82;-143,36;636;-16632;-776;-317;-44;74
40;3,62;-143,36;556;-16668;-740;-318;-48;92
40;5,66;148,76;-16164;-18988;-26645;556;-16668;-740
40;5,31;-135,45;616;-16592;-788;-326;-24;62
40;5,08;-136,41;620;-16620;-720;-332;-32;102
40;4,77;-137,03;600;-16592;-772;-345;-28;77
40;4,55;-137,56;684;-16604;-740;-338;-52;73
40;4,3;-137,63;720;-16624;-740;-330;-14;87
40;4,13;-138,13;652;-16576;-612;-324;-18;82
40;3,92;-138,44;628;-16756;-584;-317;-34;69
40;3,78;-138,9;764;-16592;-756;-329;-42;79
40;9,18;141,92;-7349;26684;-9380;764;-16592;-756
40;8,64;-135,24;760;-16704;-628;-324;-12;70
40;8,3;-136,06;580;-16596;-692;-334;-36;82
40;7,84;-136,92;608;-16620;-632;-324;-56;83
40;7,55;-137,5;604;-16588;-664;-337;-32;94
40;7,14;-137,93;660;-16624;-720;-329;-17;88
40;6,86;-138,47;588;-16692;-640;-322;-24;95
40;6,51;-138,75;752;-16644;-692;-337;-30;96
40;6,28;-139,43;596;-16668;-804;-321;-30;85
40;10,54;-141,69;9378;31734;-25747;596;-16668;-804
40;9,92;-141,82;616;-16680;-632;-331;-36;74
40;9,59;-142,12;704;-16584;-836;-342;-30;80
40;9,06;-142,09;652;-16656;-728;-324;-35;77
40;8,75;-142,21;728;-16576;-676;-305;-44;77
40;8,29;-142,46;664;-16720;-708;-326;-47;105
40;8,01;-142,78;668;-16504;-824;-330;-52;82
40;7,61;-142,5;712;-16632;-716;-327;-27;62
40;7,35;-142,22;688;-16608;-632;-331;-6;72
40;6,99;-142,21;604;-16580;-628;-327;-14;50
40;6,78;-142,15;676;-16568;-716;-326;-10;93
40;9,38;-142,8;17248;2990;-4924;676;-16568;-716
40;8,89;-142,88;532;-16532;-660;-314;-42;93
40;8,6;-142,76;568;-16684;-640;-315;-20;97
40;8,15;-142,12;736;-16584;-628;-318;-28;89
40;7,89;-142,34;708;-16600;-716;-326;-29;80
40;7,53;-142,29;588;-16660;-628;-314;-30;98
40;7,3;-142,34;604;-16588;-752;-313;-20;88
40;6,97;-142,33;652;-16648;-824;-324;-36;86
40;6,77;-142,39;684;-16620;-796;-323;-41;83
40;8,1;-144,31;14809;-18399;-28724;684;-16620;-796
40;7,73;-144,03;668;-16616;-712;-327;-19;89
40;7,49;-143,58;652;-16596;-688;-325;-12;76
40;7,17;-143,3;720;-16608;-784;-313;-35;91
40;6,97;-143,4;648;-16660;-696;-321;-44;92
40;6,66;-143,37;552;-16592;-584;-339;-23;80
