Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;25,81;-10,34;7604;-18948;10596;11728;-4326;225;34,64;1223,1;-0,6
60;30,75;-7,77;1212;-19568;10116;15370;-3397;85;29,46;1252,56;-5,18
60;32,5;-4,23;-9064;-19292;9836;16681;-3871;66;28,43;1280,99;-1,03
60;33,69;-4,73;-2412;-20464;7464;17665;-138;-285;26,99;1307,98;-1,44
60;34,31;-5,66;7552;-19636;7184;18248;-2761;-292;25,56;1360,09;-0,99
60;35,3;-4,85;-5520;-19696;5888;18609;-170;-585;24,72;1384,81;-0,84
60;36,01;-4,12;-3700;-18836;5816;18595;-3479;-428;24,33;1409,14;-0,39
60;36,63;-6,04;3956;-18144;5596;18241;-3135;-583;24,1;1433,24;-0,23
60;36,68;-7,71;5844;-17136;5388;17781;-1767;-649;22,99;1480,08;-0,86
60;36,99;-7,03;3076;-16304;5084;17062;-1026;-609;22,85;1502,92;-0,15
60;37,28;-6,27;2928;-15688;5300;16298;-1192;-527;22,9;1525,83;0,06
60;37,49;-7,96;3280;-15084;4828;15326;-1069;-514;22,93;1548,76;0,03
60;37,04;-12,31;5320;-14428;2728;14160;898;-691;22,52;1594,4;-0,61
60;37,12;-12,25;3652;-12876;3276;12851;-258;-574;22,6;1617,01;0,09
60;37,27;-11,77;-4240;-11996;5880;11610;-2130;-177;22,99;1639,99;0,38
60;37,28;-13,54;3444;-10824;3428;10175;1406;-381;22,8;1662,8;-0,18
60;36,86;-9,92;-1996;-10412;4916;8492;-695;-178;22,83;1708,63;-0,18
60;36,66;-9,53;3456;-9548;5004;6904;-547;-127;23,3;1731,93;0,47
60;36,27;-9,26;1392;-10024;4392;5416;1426;-153;23,43;1755,36;0,13
60;35,69;-8,4;-2080;-8548;3980;3644;-504;-46;24,03;1779,39;0,6
60;35,19;-9,92;3712;-8896;4376;1906;-486;-21;24,7;1828,46;0,34
60;34,36;-10,11;2368;-8684;4544;291;1440;-59;25,38;1853,84;0,67
60;33,35;-9,21;-1164;-8600;4376;-1437;1045;-22;26,12;1879,96;0,75
60;32,75;-8,37;-16206;-31633;21509;-1164;-8600;21509;27,07;1907,03;0,94
60;31,21;-7,11;308;-8580;4460;-5029;-98;19;28,53;1963,07;1,01
60;29,62;-6,57;76;-9952;4464;-6773;-273;-18;29,69;1992,77;1,17
60;28,03;-6,5;840;-9804;4124;-8342;468;127;30,94;2023,7;1,24
60;26,47;-6,63;2364;-11004;5416;-9800;2080;110;33,48;2089,45;1,21
60;25,19;-6,63;-728;-11404;7804;-11190;962;196;34,64;2124,09;1,16
60;24,15;-5,46;-932;-12780;8584;-11972;790;374;35,31;2159,4;0,67
60;23,18;-5,38;4500;-13412;8704;-12532;2442;671;35,98;2195,38;0,66
60;22,86;-6,3;3952;-16052;8908;-12738;5321;260;37,28;2269,16;0,78
60;22,61;-4,95;-10900;-14164;11256;-12501;868;438;37,71;2306,87;0,43
60;22,12;-3,64;-1808;-14616;12820;-12022;3419;362;37,69;2344,56;-0,02
60;21,99;-3,43;8972;-16152;12100;-11335;1893;556;37,61;2382,17;-0,08
60;22,82;-6,29;14364;-16100;14072;-10446;2280;757;37,97;2457,72;0,4
60;23,25;-5,83;13396;-15612;15104;-9408;1639;757;37,31;2495,03;-0,66
60;23,76;-7,47;9636;-16264;13624;-7981;2217;425;36,41;2531,45;-0,9
60;24,25;-6,48;2068;-15996;13572;-6462;2324;439;35,68;2567,13;-0,73
60;25,94;-5,91;-6404;-14324;15260;-5025;2163;311;34,72;2636,91;-0,34
60;26,74;-4,39;-2752;-14944;15428;-3814;2770;288;33,72;2670,64;-1,0
60;27,45;-3,09;-5804;-15096;14088;-2589;2221;586;32,94;2703,58;-0,78
60;27,99;-2,8;-2796;-15376;12288;-1498;3014;385;32,24;2735,82;-0,7
60;29,11;-3,69;3008;-15632;11188;-523;3596;268;31,11;2798,51;-0,48
60;29,94;-3,6;7568;-13540;11552;144;-2081;207;30,54;2829,05;-0,56
60;30,53;-3,08;-1572;-14032;11252;879;-2795;162;29,8;2858,85;-0,74
60;31,14;-4,01;1084;-15720;8832;1465;2304;-184;28,98;2887,83;-0,82
60;31,61;-2,96;-2944;-13652;8192;1615;-2821;-228;28,44;2945,08;-0,38
60;31,94;-3,34;5964;-14732;7520;1722;1812;-380;28,17;2973,25;-0,27
60;32,21;-2,04;-5660;-13816;7532;1770;-1017;-352;27,99;3001,23;-0,18
60;32,43;-2,59;4948;-13488;7416;1550;-1982;-242;27,77;3029,0;-0,22
60;32,62;-3,16;3580;-13312;7196;1351;-1622;-243;27,35;3083,88;-0,17
60;32,63;-3,34;5560;-13740;6520;985;-471;-204;27,41;3111,28;0,05
60;32,4;-2,79;3364;-13536;6076;583;476;-21;27,52;3138,8;0,11
60;32,05;-3,22;1064;-13436;5864;100;620;-145;27,77;3166,57;0,25
60;31,68;-5,16;2312;-12792;7008;-436;-536;77;28,27;3223,03;0,08
60;31,08;-4,94;2012;-13352;5504;-1088;-1008;76;28,69;3251,72;0,41
60;30,51;-5,7;3116;-13748;3400;-1621;268;-8;29,07;3280,8;0,38
60;30,87;-6,08;3116;-13748;21509;0;0;-8;29,89;3310,69;0,82
60;30,21;-4,41;-3712;-14024;6120;-2907;880;-15;29,65;3369,84;0,15
60;30,04;-4,34;-8236;-13924;7044;-3378;940;136;30,03;3399,86;0,38
60;29,92;-1,32;-6316;-13180;6000;-3847;1433;299;29,94;3429,8;-0,09
60;29,47;-4,68;3784;-13296;4636;-4409;2184;26;30,36;3490,28;0,24
