Gas (‰);Time (ms);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
30;0;56,83;-164,74;3860;-9524;-14088;-490;-8;120;0,0;0,0;0,01
30;20;56,82;-164,75;3836;-9548;-14076;-522;11;87;0,0;0,0;0,01
30;40;56,85;-164,72;3900;-9568;-14180;-485;13;66;0,0;0,0;0,01
30;60;56,86;-164,78;3784;-9548;-14144;-493;2;115;0,0;0,0;0,01
30;80;56,8;-164,71;3912;-9608;-14008;-476;-12;76;0,0;0,0;0,01
30;100;56,76;-164,69;3864;-9628;-14060;-508;25;96;0,0;0,0;0,01
30;120;56,78;-164,73;3820;-9580;-14200;-478;16;85;0,0;0,0;0,01
30;140;56,78;-164,66;3972;-9592;-14108;-495;27;94;0,0;0,0;0,01
30;160;56,81;-164,7;3804;-9532;-14160;-484;7;109;0,0;0,0;0,01
30;180;56,79;-164,73;3828;-9612;-14152;-482;26;75;0,0;0,0;0,01
30;200;56,84;-164,76;3828;-9528;-14212;-477;-5;89;0,0;0,0;0,01
30;220;56,87;-164,82;3776;-9524;-14168;-496;18;115;0,0;0,0;0,01
30;240;56,85;-164,82;3856;-9624;-14160;-480;18;71;0,0;0,0;0,01
30;260;56,87;-164,81;3880;-9584;-14204;-500;7;90;0,0;0,0;0,01
30;280;56,87;-164,81;3852;-9572;-14144;-492;-10;82;0,0;0,0;0,01
30;300;56,89;-164,77;3900;-9520;-14136;-475;24;100;0,0;0,0;0,01
30;320;56,87;-164,68;3964;-9556;-14004;-481;13;97;0,0;0,0;0,01
30;340;56,88;-164,62;3964;-9536;-14096;-480;6;91;0,0;0,0;0,01
30;360;56,87;-164,6;3884;-9536;-14036;-493;11;86;0,0;0,0;0,01
30;380;56,89;-164,56;3952;-9500;-14104;-483;1;108;0,0;0,0;0,01
30;400;56,92;-164,56;3868;-9484;-14128;-468;27;92;0,0;0,0;0,01
30;420;56,87;-164,62;3764;-9644;-14080;-471;0;61;0,0;0,0;0,01
30;440;56,89;-164,63;3864;-9524;-14176;-472;22;124;0,0;0,0;0,01
30;460;56,89;-164,62;3872;-9512;-14024;-487;3;82;0,0;0,0;0,01
30;480;56,89;-164,64;3860;-9584;-14196;-489;12;92;0,0;0,0;0,01
30;500;56,83;-164,65;3812;-9648;-14004;-469;31;101;0,0;0,0;0,01
30;520;56,82;-164,65;3892;-9640;-14208;-478;11;63;0,0;0,0;0,01
30;540;56,84;-164,62;3936;-9532;-14092;-497;5;102;0,0;0,0;0,01
30;560;56,83;-164,62;3872;-9584;-14096;-493;18;74;0,0;0,0;0,01
30;580;56,83;-164,6;3896;-9528;-14068;-478;7;99;0,0;0,0;0,01
30;600;56,82;-164,67;3740;-9600;-14168;-490;15;114;0,0;0,0;0,01
30;620;56,83;-164,7;3796;-9572;-14184;-485;-7;81;0,0;0,0;0,01
30;640;56,83;-164,71;3832;-9536;-14056;-482;36;105;0,0;0,0;0,01
30;660;56,85;-164,71;3896;-9560;-14236;-466;-19;66;0,0;0,0;0,01
30;680;56,86;-164,72;3852;-9588;-14200;-484;6;90;0,0;0,0;0,01
30;700;56,86;-164,69;3928;-9540;-14112;-492;15;112;0,0;0,0;0,01
30;720;56,86;-164,69;3880;-9588;-14136;-483;14;90;0,0;0,0;0,01
30;740;56,87;-164,68;3892;-9544;-14144;-505;-8;94;0,0;0,0;0,01
30;760;56,87;-164,72;3768;-9556;-14128;-467;0;101;0,0;0,0;0,01
30;780;56,85;-164,7;3904;-9560;-14032;-482;9;78;0,0;0,0;0,01
30;800;56,85;-164,65;3964;-9544;-14028;-489;12;105;0,0;0,0;0,01
30;820;56,83;-164,67;3800;-9568;-14024;-474;-2;102;0,0;0,0;0,01
30;840;56,82;-164,66;3880;-9544;-14040;-501;-12;83;0,0;0,0;0,01
30;860;56,83;-164,67;3856;-9584;-14180;-473;2;98;0,0;0,0;0,01
30;880;56,82;-164,65;3896;-9556;-14004;-506;11;100;0,0;0,0;0,01
30;900;56,81;-164,66;3816;-9568;-14080;-513;4;90;0,0;0,0;0,01
30;920;56,8;-164,64;3920;-9576;-14012;-487;7;101;0,0;0,0;0,01
30;940;56,79;-164,67;3772;-9596;-14132;-484;35;79;0,0;0,0;0,01
30;960;56,83;-164,68;3872;-9500;-14240;-482;8;106;0,0;0,0;0,01
30;980;56,81;-164,67;3892;-9644;-14092;-496;4;74;0,0;0,0;0,01
30;1000;56,79;-164,68;3816;-9660;-14136;-487;19;90;0,0;0,0;0,01
30;1020;56,77;-164,7;3804;-9592;-14016;-515;-18;107;0,0;0,0;0,01
30;1040;56,77;-164,7;3848;-9564;-14096;-456;26;90;0,0;0,0;0,01
30;1060;56,78;-164,7;3868;-9556;-14136;-475;13;98;0,0;0,0;0,01
30;1080;56,78;-164,7;3856;-9560;-14108;-481;0;108;0,0;0,0;0,01
30;1100;56,78;-164,72;3796;-9576;-14136;-492;11;70;0,0;0,0;0,01
30;1120;56,78;-164,71;3932;-9632;-14212;-460;-7;74;0,0;0,0;0,01
30;1140;56,78;-164,72;3836;-9588;-14176;-477;-5;96;0,0;0,0;0,01
30;1160;56,79;-164,74;3764;-9492;-14084;-479;11;89;0,0;0,0;0,01
30;1180;56,8;-164,73;3888;-9564;-14132;-504;-11;121;0,0;0,0;0,01
30;1200;56,8;-164,71;3980;-9600;-14176;-466;22;73;0,0;0,0;0,01
