Angle (°);Time (ms);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;0;56,85;-164,94;3828;-9492;-14168;-496;5;68;3,16;-1377,39;-0,01
60;20;56,83;-164,88;3824;-9580;-14104;-493;-13;99;3,16;-1374,23;0,0
60;40;56,85;-164,84;3972;-9512;-14200;-465;-16;78;3,16;-1371,07;-0,0
60;60;56,86;-164,84;3884;-9488;-14164;-461;19;93;3,15;-1367,91;-0,01
60;80;56,86;-164,83;3792;-9648;-14176;-499;16;116;3,13;-1361,64;-0,0
60;100;56,86;-164,82;3916;-9608;-14264;-481;-2;74;3,14;-1358,5;0,01
60;120;56,87;-164,82;3772;-9580;-14096;-488;9;98;3,13;-1355,37;-0,02
60;140;56,86;-164,82;3816;-9576;-14056;-469;3;111;3,13;-1352,24;0,01
60;160;56,88;-164,82;3904;-9572;-14192;-485;16;66;3,12;-1345,98;-0,01
60;180;56,87;-164,82;3788;-9608;-14032;-442;-32;122;3,12;-1342,86;-0,0
60;200;56,88;-164,81;3896;-9560;-14148;-501;26;62;3,12;-1339,74;0,0
60;220;57,68;-163,79;18555;288;-7767;3896;-9560;21509;3,13;-1336,61;0,0
60;240;57,62;-163,83;3820;-9584;-14152;-483;51;120;2,36;-1331,9;0,02
60;260;57,58;-163,82;3992;-9600;-14180;-466;4;48;2,41;-1329,49;0,05
60;280;57,54;-163,83;3836;-9612;-14008;-493;21;131;2,44;-1327,05;0,03
60;300;58,29;-162,91;18555;288;-7767;3836;-9612;21509;2,47;-1324,58;0,03
60;320;58,19;-162,99;3804;-9596;-14148;-499;-1;68;1,77;-1321,06;0,01
60;340;58,15;-163,03;3796;-9568;-14112;-475;2;145;1,83;-1319,23;0,06
60;360;58,1;-163,05;3932;-9580;-14108;-481;2;45;1,88;-1317,35;0,05
60;380;58,32;-158,17;3932;-9580;21509;-1;-1;45;1,93;-1315,42;0,05
60;400;58,22;-158,56;3824;-9632;-14132;-478;1;106;1,74;-1311,96;0,01
60;420;58,17;-158,76;3864;-9648;-14076;-487;25;46;1,79;-1310,16;0,06
60;440;58,13;-158,97;3776;-9568;-14168;-482;8;151;1,86;-1308,31;0,06
60;460;58,8;-158,3;18555;288;-7767;3776;-9568;21509;1,9;-1306,41;0,05
60;480;58,69;-158,68;3968;-9540;-14120;-485;-9;114;1,26;-1303,9;0,01
60;500;58,64;-158,86;3876;-9644;-14208;-483;17;90;1,33;-1302,57;0,07
60;520;58,58;-159,05;3856;-9580;-14120;-487;0;83;1,4;-1301,17;0,07
60;540;57,99;-155,54;3328;0;3328;18555;288;-7767;1,47;-1299,7;0,07
60;560;57,96;-156,09;3836;-9532;-14184;-509;31;73;2,02;-1295,63;-0,03
60;580;57,96;-156,4;3848;-9604;-14096;-444;2;85;2,03;-1293,6;0,0
60;600;57,96;-156,68;3868;-9528;-14020;-518;19;103;2,05;-1291,55;0,02
60;620;58,63;-156,17;18555;288;-7767;3868;-9528;21509;2,06;-1289,49;0,01
60;640;58,56;-156,7;3812;-9568;-14064;-463;2;103;1,39;-1286,68;-0,02
60;660;58,55;-156,97;3860;-9572;-14176;-481;17;87;1,44;-1285,25;0,04
60;680;58,54;-157,22;3880;-9576;-14188;-468;13;78;1,46;-1283,79;0,02
60;700;59,18;-156,73;18555;288;-7767;3880;-9576;21509;1,49;-1282,3;0,03
60;720;59,09;-157,24;3828;-9512;-14172;-481;14;78;0,87;-1280,55;-0,01
