Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;0;1,85;-117,71;524;-16632;-256;-334;-9;53;58,16;1835,48;0,01
60;20;1,88;-117,57;580;-16576;-188;-358;-20;54;58,14;1893,62;-0,02
60;40;1,87;-118,29;448;-16648;-284;-335;-20;54;58,13;2009,87;0,01
60;60;1,85;-117,54;500;-16584;-244;-341;-5;32;58,15;2068,02;0,02
60;80;1,87;-118,4;504;-16540;-316;-332;7;43;58,14;2126,16;-0,01
60;100;1,86;-118,8;472;-16648;-296;-337;-20;49;58,15;2184,31;0,0
60;120;1,84;-118,94;472;-16696;-244;-334;-21;39;58,16;2300,61;0,02
60;140;1,84;-119,38;328;-16536;-256;-340;-33;69;58,14;2358,75;-0,02
60;160;1,83;-118,75;524;-16584;-244;-343;-36;50;58,18;2416,93;0,04
60;180;6,1;-119,6;18555;288;-7767;524;-16584;21509;58,17;2475,1;-0,01
60;200;5,68;-118,42;544;-16672;-228;-337;-12;59;54,16;2583,34;0,08
60;220;5,44;-117,88;432;-16648;-224;-330;-26;39;54,42;2637,76;0,26
60;240;5,23;-116,91;500;-16776;-244;-343;-3;54;54,68;2692,44;0,26
60;260;7,44;-114,0;3328;0;3328;18555;288;-7767;54,89;2747,34;0,21
60;280;6,99;-115,02;496;-16624;-332;-336;-4;57;52,82;2852,95;0,04
60;300;6,77;-115,04;444;-16612;-460;-342;-36;56;53,11;2906,05;0,29
60;320;6,54;-115,45;392;-16580;-244;-351;-26;56;53,35;2959,41;0,24
60;340;9,96;-116,8;18555;288;-7767;392;-16580;21509;53,61;3013,02;0,26
60;360;9,28;-116,1;456;-16512;-212;-353;-24;49;50,45;3113,8;0,11
60;380;8,96;-116,54;484;-16636;-456;-340;-51;46;50,85;3164,65;0,41
60;400;8,65;-115,96;476;-16544;-188;-343;-37;60;51,2;3215,86;0,35
60;420;10,27;-112,58;3328;0;3328;18555;288;-7767;51,55;3267,41;0,35
60;440;9,64;-112,5;448;-16632;-220;-326;-18;53;50,1;3367,53;0,07
60;460;9,33;-112,44;500;-16736;-148;-359;1;22;50,48;3418,01;0,38
60;480;9,02;-112,37;416;-16596;-180;-340;-46;65;50,84;3468,85;0,36
60;500;11,98;-113,8;18555;288;-7767;416;-16596;21509;51,18;3520,03;0,34
60;520;11,23;-113,91;564;-16664;-276;-338;-41;34;48,48;3616,88;0,12
60;540;10,86;-114,69;424;-16676;-392;-332;-17;41;48,92;3665,8;0,44
60;560;10,52;-114,71;580;-16676;-300;-334;-9;47;49,34;3715,14;0,41
60;580;13,23;-115,97;18555;288;-7767;580;-16676;21509;49,73;3764,87;0,4
60;600;12,39;-115,34;468;-16648;-156;-331;-30;55;47,28;3859,28;0,14
60;620;11,97;-114,67;520;-16552;-148;-348;-19;57;47,78;3907,07;0,5
60;640;11,55;-114,75;368;-16652;-248;-337;-28;41;48,26;3955,33;0,48
60;660;14,1;-116,02;18555;288;-7767;368;-16652;21509;48,72;4004,04;0,46
60;680;13,25;-115,35;508;-16620;-236;-337;-1;51;46,42;4096,73;0,15
60;700;12,8;-114,76;492;-16568;-228;-327;-11;49;46,94;4143,67;0,52
60;720;12,35;-114,68;396;-16596;-240;-328;-19;44;47,44;4191,11;0,5
60;740;13,54;-110,66;396;-16596;21509;0;0;44;47,93;4239,03;0,49
60;760;12,79;-111,27;572;-16684;-224;-326;-34;41;46,92;4332,74;0,14
60;780;12,35;-111,02;432;-16588;-112;-340;-47;47;47,41;4380,15;0,49
60;800;11,92;-111,02;448;-16600;-168;-327;-12;67;47,9;4428,05;0,49
60;820;11,22;-111,04;468;-16576;-188;-341;-34;59;48,5;4524,91;0,13
60;840;10,85;-110,84;460;-16656;-224;-347;-20;49;48,93;4573,84;0,43
60;860;10,49;-111,62;404;-16596;-392;-337;24;49;49,34;4623,17;0,41
60;880;10,15;-111,98;440;-16580;-256;-346;-33;69;49,72;4672,89;0,38
60;900;9,6;-112,34;500;-16684;-232;-340;-19;64;50,18;4773,15;0,09
60;920;9,29;-112,52;408;-16552;-184;-322;-28;50;50,52;4823,67;0,35
60;940;9,0;-112,68;472;-16728;-308;-331;-33;64;50,85;4874,53;0,33
60;960;8,71;-111,82;464;-16600;-16;-353;-7;40;51,17;4925,69;0,32
60;980;8,24;-112,26;444;-16612;-272;-318;-11;32;51,59;5028,77;0,1
60;1000;7,99;-112,18;520;-16584;-260;-332;-10;48;51,87;5080,64;0,28
60;1020;7,75;-112,64;408;-16668;-212;-334;-31;52;52,12;5132,76;0,25
60;1040;9,98;-113,75;18555;288;-7767;408;-16668;21509;52,4;5185,16;0,27
60;1060;9,45;-113,82;504;-16516;-132;-361;-4;41;50,35;5285,74;0,12
60;1080;9,16;-114,13;480;-16676;-316;-343;-28;37;50,68;5336,41;0,33
