Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
30;0;7,76;-138,44;4132;-17048;-1028;-203;320;52;0,0;0,0;0,17
30;20;6,98;-112,64;1432;-16852;704;-195;2124;1;0,0;0,0;0,17
30;40;8,67;-59,92;-3932;-16548;316;-149;-1496;92;0,0;0,0;0,17
30;60;10,29;-65,48;4752;-16784;-280;-150;-1183;83;0,0;0,0;0,17
30;80;10,59;-67,39;3348;-16800;356;-86;1432;68;0,0;0,0;0,17
30;100;10,71;-38,09;-3052;-16460;448;-94;-363;73;0,0;0,0;0,17
30;120;10,56;-46,13;2708;-16864;-508;-49;-557;47;0,0;0,0;0,17
30;140;10,0;-48,78;1956;-16848;512;50;1118;86;0,0;0,0;0,17
30;160;9,84;-23,7;-2504;-16364;380;81;-634;85;0,0;0,0;0,17
30;180;10,56;-34,03;3944;-16656;-916;114;-281;129;0,0;0,0;0,17
30;200;10,35;-38,22;2524;-17012;772;205;1117;39;0,0;0,0;0,17
30;220;10,42;-14,64;-3020;-16668;328;158;-629;131;0,0;0,0;0,17
30;240;10,77;-24,52;3536;-16712;-100;291;-14;26;0,0;0,0;0,17
30;260;10,14;-8,39;-1492;-16464;1136;378;887;82;0,0;0,0;0,17
30;280;9,95;12,16;-2560;-16572;-56;329;-927;92;0,0;0,0;0,17
30;300;10,06;0,81;2980;-16484;352;426;517;-4;0,0;0,0;0,17
30;320;9,78;14,87;-2088;-16300;1004;414;-77;46;0,0;0,0;0,17
30;340;9,66;-0,36;2560;-16844;-676;402;-1010;-30;0,0;0,0;0,17
30;360;9,73;-10,19;2944;-16988;416;493;779;-56;0,0;0,0;0,17
30;380;9,68;6,46;-2708;-16548;280;429;-605;-13;0,0;0,0;0,17
30;400;9,98;-5,73;3404;-16784;-276;552;-190;13;0,0;0,0;0,17
30;420;9,72;6,61;-2036;-16332;1008;530;381;-9;0,0;0,0;0,17
30;440;9,4;21,17;-2112;-16468;-28;537;-1129;126;0,0;0,0;0,17
