Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
60;0;2,61;-141,56;0,2849;-9,9671;-0,3482;0,0465;0,0039;0,0111;57,39;172,24;0,1
60;20;2,55;-142,38;0,2394;-10,0006;-0,3863;0,0488;0,0019;0,0105;57,45;229,69;0,06
60;40;2,56;-143,11;0,2538;-9,9934;-0,4271;0,0477;0,0031;0,0103;57,44;287,13;-0,01
60;60;2,54;-142,92;0,2658;-9,9671;-0,3863;0,0448;0,0015;0,0085;57,46;344,58;0,02
60;80;2,46;-142,74;0,2155;-9,9814;-0,3102;0,0448;-0,0011;0,0109;57,54;402,12;0,08
60;100;2,51;-142,73;0,2993;-9,9407;-0,4462;0,0469;0,0025;0,0107;57,49;459,61;-0,05
60;120;2,47;-143,78;0,182;-9,9359;-0,3809;0,0464;-0,0015;0,0103;57,53;517,14;0,04
60;140;2,48;-144,48;0,2251;-9,9838;-0,4435;0,0489;0,0023;0,0092;57,52;574,65;-0,01
60;160;2,46;-145,07;0,1963;-9,9551;-0,3863;0,0444;0,0035;0,0101;57,54;632,2;0,03
60;180;2,42;-144,02;0,2634;-10,0389;-0,2884;0,0482;0,0003;0,0115;57,58;689,77;0,04
60;200;2,41;-144,23;0,2203;-9,979;-0,3727;0,0461;0,0021;0,0091;57,59;747,37;0,02
60;220;2,39;-144,01;0,2466;-9,9814;-0,3537;0,0472;0,0003;0,0088;57,61;804,98;0,01
60;240;2,4;-143,65;0,2873;-9,9407;-0,3863;0,0464;0,0015;0,0076;57,6;862,57;-0,01
60;260;2,38;-142,81;0,2753;-9,9886;-0,2993;0,0452;0,0001;0,0095;57,62;920,19;0,02
60;280;2,39;-143,16;0,237;-10,0149;-0,419;0,0453;0,0012;0,0117;57,61;977,8;-0,01
60;300;2,38;-142,63;0,2777;-9,9766;-0,3374;0,047;0,002;0,0101;57,62;1035,42;0,01
60;320;2,4;-142,44;0,2897;-9,991;-0,4027;0,048;0,0028;0,0115;57,6;1093,02;-0,02
60;340;2,42;-142,2;0,2993;-10,0724;-0,4027;0,0453;0,0008;0,0088;57,58;1150,6;-0,02
60;360;2,41;-142,3;0,249;-10,0365;-0,3891;0,0462;0,006;0,0084;57,59;1208,19;0,0
60;380;2,42;-142,84;0,2203;-9,9695;-0,4244;0,0474;0,0011;0,0133;57,58;1265,77;-0,01
60;400;2,41;-142,35;0,2682;-9,9431;-0,3265;0,0461;-0,0015;0,0088;57,59;1323,36;0,01
60;420;2,39;-142,58;0,2251;-9,979;-0,3727;0,0449;-0,0007;0,0116;57,61;1380,97;0,01
60;440;2,35;-142,06;0,2322;-9,9695;-0,2775;0,0473;0,0019;0,0084;57,65;1438,62;0,04
60;460;2,36;-142,27;0,2394;-9,9814;-0,3918;0,0473;0,0015;0,0104;57,64;1496,26;-0,0
60;480;2,34;-142,06;0,249;-10,0173;-0,3374;0,0456;0,0003;0,0103;57,66;1553,92;0,02
60;500;2,34;-142,23;0,2322;-9,9407;-0,3727;0,0477;-0,0001;0,0093;57,66;1611,58;0,0
60;520;2,34;-143,01;0,2011;-9,9623;-0,4353;0,0464;0,0011;0,0117;57,66;1669,24;-0,01
60;540;2,37;-143,24;0,2658;-9,991;-0,4462;0,0461;0,0021;0,008;57,63;1726,87;-0,03
60;560;2,38;-143,22;0,2705;-9,9934;-0,4081;0,0468;0,0009;0,0103;57,62;1784,49;-0,01
60;580;2,39;-143,61;0,2251;-10,0054;-0,4108;0,0477;0,0052;0,0113;57,61;1842,1;-0,0
60;600;2,39;-143,08;0,2969;-10,0126;-0,3564;0,0449;0,002;0,0115;57,61;1899,7;-0,0
60;620;2,4;-143,15;0,2586;-10,0006;-0,4054;0,0461;0,0031;0,0095;57,6;1957,3;-0,01
60;640;2,39;-142,36;0,2921;-9,9671;-0,3102;0,046;0,0016;0,0115;57,61;2014,91;0,01
60;660;2,39;-142,11;0,2753;-10,003;-0,3646;0,0472;0,0011;0,0093;57,61;2072,52;-0,0
60;680;2,4;-142,18;0,2586;-9,9742;-0,3972;0,047;0,0004;0,0109;57,6;2130,12;-0,01
60;700;2,42;-142,29;0,2825;-10,07;-0,4407;0,0453;0,0056;0,0127;57,58;2187,7;-0,02
60;720;2,41;-141,98;0,2514;-9,9742;-0,3238;0,0466;-0,0005;0,0103;57,59;2245,29;0,02
60;740;2,4;-141,91;0,2538;-9,9766;-0,3618;0,0488;0,0039;0,0091;57,6;2302,89;0,0
60;760;2,39;-141,48;0,2705;-9,9599;-0,3265;0,0458;0,0009;0,0115;57,61;2360,5;0,01
