Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s)
0;0;1,73;-82,25;0,2993;-9,9024;0,0463;-0,0441;-0,004;0,0051
0;20;1,82;-89,22;0,3328;-9,9575;-0,0408;-0,0464;-0,0007;0,0033
0;40;1,79;-90,83;0,2753;-9,9551;-0,0218;0,0438;-0,0013;0,0027
0;60;1,86;-91,72;0,3232;-9,8881;-0,0272;0,0458;-0,0029;0,0005
0;80;1,81;-91,76;0,2346;-9,9575;-0,0082;0,0457;-0,0073;0,0053
0;100;1,86;-93,21;0,3041;-9,9862;-0,0599;0,0441;-0,0027;0,0065
0;120;1,86;-95,74;0,2562;-9,979;-0,1007;0,0428;-0,0073;0,0065
0;140;1,84;-95,99;0,2227;-9,8785;-0,0299;0,0437;-0,0019;0,0061
0;160;1,86;-97,45;0,2634;-9,9216;-0,0871;0,0446;0,0013;0,0023
0;180;1,9;-98,72;0,2945;-9,8665;-0,0979;0,0438;-0,0032;0,0047
0;200;1,96;-100,35;0,3208;-9,8665;-0,136;0,0449;-0,0043;0,0048
0;220;2,0;-101,31;0,3041;-9,9335;-0,1007;0,0481;-0,0048;0,0059
0;240;2,04;-101,64;0,3232;-9,9575;-0,0762;0,0469;-0,0004;0,0044
0;260;2,04;-101,36;0,2849;-9,9886;-0,0381;0,0468;-0,0069;0,0039
0;280;2,1;-102,34;0,3472;-9,9192;-0,1252;0,0456;-0,0063;0,0025
0;300;2,1;-103,09;0,2873;-9,9599;-0,0952;0,0417;-0,0055;0,0007
0;320;2,12;-103,05;0,3256;-9,991;-0,0653;0,0441;-0,002;0,002
0;340;2,07;-101,49;0,2251;-9,9335;0,0136;0,0452;-0,0059;0,0031
0;360;2,1;-102,11;0,328;-9,9264;-0,1007;0,0465;-0,0089;0,0075
0;380;2,12;-101,35;0,3424;-9,9359;-0,0245;0,0468;-0,0059;0,0051
0;400;2,12;-102,51;0,2897;-9,9407;-0,1197;0,0482;-0,0053;0,0064
0;420;2,13;-104,67;0,2825;-9,979;-0,1823;0,0448;-0,0037;0,0044
0;440;2,09;-103,84;0,2658;-9,9742;-0,0245;0,0436;-0,0061;0,0012
0;460;2,12;-104,1;0,3496;-9,9862;-0,0979;0,0446;-0,0081;0,0065
0;480;2,1;-103,19;0,2921;-9,9599;-0,0218;0,0437;0,0021;0,0063
0;500;2,09;-103,91;0,2969;-10,0054;-0,1088;0,0477;-0,004;0,0031
0;520;2,1;-102,74;0,34;-9,9575;-0,0082;0,0453;-0,0029;0,0072
0;540;2,09;-102,95;0,3065;-9,9479;-0,0816;0,0452;-0,0065;0,0048
0;560;2,08;-103,52;0,2849;-9,9;-0,0979;0,0448;-0,0057;0,0048
0;580;2,08;-104,39;0,3136;-9,9288;-0,1306;0,0462;-0,0044;0,0072
0;600;2,05;-105,39;0,2538;-9,8737;-0,117;0,0457;-0,0031;0,0024
0;620;2,03;-104,31;0,2825;-9,9311;-0,0136;0,0448;-0,0047;0,0048
0;640;2,01;-104,27;0,2897;-9,912;-0,0707;0,044;-0,0045;0,0008
0;660;2,01;-105,74;0,2825;-9,9503;-0,166;0,0452;-0,0052;0,0027
0;680;2,0;-104,82;0,3112;-9,9335;-0,0245;0,0453;-0,0076;0,006
0;700;1,99;-105,66;0,2825;-9,9599;-0,1279;0,0452;-0,0077;0,0033
0;720;2,0;-105,32;0,3304;-9,9862;-0,0653;0,0448;-0,0039;0,0041
0;740;1,97;-104,63;0,2777;-9,9407;-0,0326;0,0441;-0,0075;0,0033
0;760;1,95;-105,19;0,2562;-9,9814;-0,1007;0,0434;-0,0084;0,0023
0;780;1,95;-105,6;0,3184;-9,924;-0,117;0,0448;-0,0015;0,0057
0;800;1,94;-105,81;0,2753;-9,9647;-0,0898;0,0481;-0,006;0,0023
0;820;1,93;-106,37;0,2873;-9,9551;-0,1197;0,0457;-0,0059;0,0041
0;840;1,94;-106,82;0,3184;-10,0006;-0,1279;0,0432;-0,0063;0,0048
0;860;1,96;-107,17;0,34;-9,924;-0,1306;0,0445;-0,0029;0,006
0;880;1,95;-107,52;0,2921;-9,9216;-0,1143;0,0448;-0,0021;0,0036
0;900;1,95;-107,87;0,2873;-9,8952;-0,1143;0,044;-0,0069;0,0031
0;920;1,93;-106,83;0,2897;-9,9048;-0,0136;0,0429;-0,0055;0,0048
0;940;1,94;-106,27;0,3448;-9,9503;-0,0517;0,0454;-0,0071;0,008
0;960;1,96;-105,79;0,3496;-9,9647;-0,0571;0,0453;-0,0063;0,004
0;980;1,94;-105,01;0,2849;-9,9431;-0,0218;0,0469;0,0013;0,0028
0;1000;1,92;-105,01;0,2682;-9,8976;-0,0735;0,0449;-0,0071;0,0031
0;1020;1,94;-105,54;0,34;-9,9886;-0,1469;0,0452;0,0015;0,004
0;1040;1,92;-104,77;0,2777;-9,9264;-0,019;0,0444;-0,0068;0,0043
0;1060;1,92;-106,79;0,2394;-9,9718;-0,2394;0,0441;-0,0044;0,0045
0;1080;1,93;-106,52;0,3304;-9,8904;-0,0735;0,0452;-0,0039;0,0037
0;1100;1,91;-106,92;0,2466;-9,9838;-0,1034;0,0446;-0,0031;0,0021
0;1120;1,88;-105,52;0,2634;-9,9551;0,0272;0,0438;-0,0023;0,006
0;1140;1,89;-104,55;0,3304;-9,912;0,0;0,0433;-0,0048;0,0013
0;1160;1,87;-104,14;0,261;-9,9;-0,0381;0,0462;-0,0028;0,0061
0;1180;1,87;-104,83;0,2969;-9,9623;-0,1469;0,0442;-0,0032;0,004
0;1200;1,87;-105,63;0,2729;-9,9551;-0,1496;0,0433;-0,0069;0,0021
0;1220;1,87;-105,5;0,3232;-9,9264;-0,0789;0,0462;-0,0045;0,0057
0;1240;1,87;-104,93;0,3136;-9,9216;-0,0326;0,046;-0,0059;0,0041
0;1260;1,88;-105,64;0,2945;-9,9982;-0,1551;0,044;-0,0049;0,0043
0;1280;1,87;-105,3;0,2921;-9,9024;-0,0517;0,0456;-0,0015;0,004
0;1300;1,86;-105,49;0,2873;-9,9527;-0,1007;0,0466;-0,0025;0,0043
0;1320;1,87;-104,77;0,3256;-9,9479;-0,0163;0,044;-0,0049;0,006
0;1340;1,86;-105,33;0,2729;-9,912;-0,1306;0,047;-0,0065;0,0063
0;1360;1,85;-105,35;0,261;-9,9479;-0,0762;0,0464;-0,004;0,0045
0;1380;1,84;-105,77;0,2658;-9,9335;-0,117;0,0468;-0,0056;0,0067
0;1400;1,84;-104,98;0,2969;-9,991;-0,0054;0,0468;-0,0024;0,0041
0;1420;1,85;-105,0;0,3304;-9,8952;-0,0952;0,0446;-0,0043;0,0067
