Gas;Position
0;22,3
0;16,16
0;12,06
0;8,53
0;5,78
0;3,98
0;2,68
0;1,98
0;1,73
0;1,69
0;1,6
0;1,62
0;1,92
0;2,04
0;2,06
0;2,09
0;2,41
0;2,62
0;2,7
0;2,81
0;2,94
0;3,13
0;3,27
0;3,39
0;3,63
0;3,66
50;22,29
50;25,97
50;30,81
50;33,13
50;35,63
50;42,26
50;50,56
50;55,9
50;56,74
50;54,92
50;54,06
50;52,11
50;49,01
50;51,35
50;44,27
50;46,47
50;42,53
50;44,12
50;44,26
50;35,21
50;37,34
50;39,39
50;42,08
50;47,7
50;47,24
100;53,19
100;43,19
100;35,22
100;27,2
100;21,47
100;22,92
100;24,83
100;27,77
100;30,76
100;31,11
100;28,05
100;25,58
100;23,52
100;25,94
100;24,82
100;25,64
100;26,08
100;25,68
100;25,84
100;25,52
100;26,98
100;25,72
100;25,84
100;26,12
100;25,82
