Gas;PositionX;PositionY
0;3,8;-150,66
0;3,82;-150,66
0;3,74;-149,91
0;3,74;-151,2
0;3,72;-150,66
0;3,71;-150,51
0;3,7;-150,72
0;3,67;-150,87
0;3,59;-149,42
0;3,53;-149,76
0;3,52;-150,15
0;3,51;-149,9
0;3,51;-149,65
0;3,56;-149,6
0;3,57;-149,38
0;3,54;-149,05
0;3,47;-149,06
0;3,47;-149,94
0;3,5;-149,47
0;3,46;-148,72
0;3,47;-148,51
0;3,42;-148,11
0;3,42;-148,79
0;3,42;-148,45
0;3,47;-148,96
0;3,44;-149,08
0;3,47;-149,27
0;3,42;-149,35
0;3,45;-149,17
0;3,47;-148,84
0;3,47;-148,62
0;3,46;-149,19
0;3,51;-149,0
0;3,5;-148,71
0;3,5;-148,83
0;3,48;-148,91
0;3,51;-149,29
0;3,51;-148,92
0;3,52;-148,59
0;3,54;-148,85
0;3,49;-149,47
0;3,51;-149,66
0;3,52;-149,81
0;3,54;-149,63
0;3,53;-149,23
0;3,54;-149,55
0;3,53;-149,52
0;3,49;-149,39
0;3,45;-149,38
0;3,47;-149,01
0;3,48;-149,18
0;3,47;-149,35
0;3,48;-149,63
0;3,49;-149,61
0;3,51;-149,86
0;3,52;-149,94
0;3,51;-149,88
0;3,54;-150,0
0;3,54;-150,1
0;3,57;-150,08
0;3,57;-150,1
0;3,6;-150,31
0;3,6;-150,35
0;3,58;-150,31
0;3,56;-150,45
0;3,55;-150,62
0;3,54;-150,72
0;3,52;-150,5
0;3,52;-150,32
0;3,51;-150,06
0;3,49;-149,85
0;3,5;-149,79
0;3,52;-150,0
0;3,51;-149,83
0;3,51;-149,84
0;3,5;-149,9
0;3,5;-149,99
0;3,51;-149,83
0;3,49;-149,95
0;3,48;-150,02
0;3,47;-149,83
0;3,48;-149,54
0;3,51;-149,79
0;3,51;-149,65
0;3,51;-149,71
0;3,5;-149,8
0;3,51;-149,75
0;3,49;-149,45
0;3,5;-149,62
0;3,52;-149,54
0;3,51;-149,49
0;3,51;-149,62
0;3,51;-149,43
0;3,52;-149,6
0;3,54;-149,8
0;3,53;-149,93
0;3,54;-149,83
0;3,54;-149,86
0;3,54;-149,77
0;3,53;-149,67
0;3,53;-149,69
0;3,53;-149,72
0;3,52;-149,62
0;3,53;-149,97
0;3,54;-149,75
0;3,55;-149,83
0;3,57;-149,96
0;3,56;-149,94
0;3,54;-149,72
0;3,56;-150,14
0;3,55;-150,21
0;3,54;-150,56
0;3,54;-150,77
0;3,52;-150,75
0;3,53;-150,82
0;3,53;-150,84
0;3,52;-150,69
0;3,5;-150,74
0;3,51;-150,84
0;3,51;-150,65
0;3,51;-150,66
0;3,52;-150,62
0;3,51;-150,17
0;3,51;-150,09
0;3,52;-150,05
0;3,52;-149,93
0;3,52;-149,82
0;3,52;-149,78
0;3,51;-149,54
0;3,5;-149,22
0;3,51;-149,53
0;3,53;-149,69
0;3,53;-149,93
0;3,54;-150,01
0;3,54;-149,99
0;3,53;-150,17
0;3,53;-150,13
0;3,53;-150,39
0;3,52;-150,52
0;3,52;-150,86
0;3,53;-150,98
0;3,51;-150,71
0;3,52;-150,65
0;3,52;-150,7
0;3,52;-150,65
0;3,52;-150,66
0;3,53;-150,74
0;3,53;-150,74
0;3,53;-150,81
0;3,54;-150,86
0;3,52;-150,74
0;3,52;-150,62
0;3,52;-150,62
0;3,52;-150,64
0;3,52;-150,76
0;3,52;-150,76
0;3,51;-150,62
0;3,51;-150,57
0;3,54;-150,56
0;3,54;-150,66
0;3,53;-150,3
0;3,52;-150,33
0;3,52;-150,33
0;3,51;-150,21
0;3,51;-150,38
0;3,51;-150,44
0;3,53;-150,54
0;3,53;-150,44
0;3,54;-150,62
0;3,54;-150,6
0;3,54;-150,67
0;3,54;-150,54
0;3,57;-150,53
0;3,57;-150,84
0;3,58;-150,85
0;3,57;-150,62
0;3,58;-150,56
0;3,61;-150,7
0;3,6;-150,68
0;3,62;-150,9
0;3,61;-151,1
0;3,6;-150,96
0;3,59;-150,9
0;3,59;-150,96
0;3,59;-151,1
0;3,59;-151,42
0;3,6;-151,49
0;3,61;-151,83
0;3,63;-152,05
0;3,61;-151,91
0;3,61;-151,85
0;3,61;-151,89
0;3,6;-151,69
0;3,6;-151,86
0;3,58;-151,75
0;3,59;-151,73
0;3,6;-151,53
0;3,6;-151,64
0;3,6;-151,73
0;3,61;-151,7
0;3,62;-151,68
0;3,64;-151,77
0;3,63;-151,91
0;3,62;-151,79
0;3,62;-151,95
0;3,62;-151,91
0;3,62;-152,05
0;3,62;-152,05
0;3,61;-152,01
0;3,62;-151,93
0;3,63;-151,95
0;3,62;-151,94
0;3,63;-152,01
0;3,62;-151,97
0;3,63;-152,08
0;3,61;-151,91
0;3,6;-151,88
0;3,61;-152,08
0;3,6;-151,89
0;3,6;-151,87
0;3,62;-152,08
0;3,62;-152,02
0;3,63;-152,07
0;3,63;-151,9
0;3,64;-151,78
0;3,63;-151,88
0;3,63;-151,76
0;3,64;-151,84
0;3,63;-151,64
0;3,61;-151,41
0;3,6;-151,18
0;3,58;-151,16
0;3,59;-151,33
0;3,57;-151,2
0;3,56;-151,13
0;3,56;-151,2
0;3,54;-151,09
0;3,55;-151,28
0;3,52;-151,2
0;3,52;-151,08
0;3,52;-150,99
0;3,5;-151,05
0;3,49;-150,92
0;3,48;-150,97
0;3,49;-151,09
0;3,49;-151,16
0;3,51;-151,16
0;3,49;-151,09
0;3,5;-151,32
0;3,49;-151,41
2;3,46;-150,4
2;3,43;-148,35
2;3,49;-147,44
2;3,5;-148,36
2;3,49;-147,52
2;3,53;-147,98
2;3,54;-147,15
2;3,51;-147,58
2;3,55;-148,3
2;3,59;-148,09
2;3,59;-148,41
2;3,61;-148,14
2;3,6;-148,58
2;3,62;-148,71
2;3,61;-148,82
2;3,61;-148,95
2;3,57;-148,74
2;3,56;-148,95
2;3,54;-149,52
2;3,56;-149,51
2;3,61;-149,84
2;3,6;-150,29
2;3,59;-150,31
2;3,53;-150,01
2;3,53;-150,0
2;3,52;-149,92
2;3,51;-150,09
2;3,5;-149,61
2;3,52;-150,0
2;3,48;-149,78
2;3,47;-149,89
2;3,45;-149,48
2;3,47;-149,73
2;3,49;-149,99
2;3,5;-149,78
2;3,48;-149,96
2;3,47;-150,42
2;3,49;-150,38
2;3,49;-149,94
2;3,49;-149,91
2;3,5;-149,68
2;3,52;-149,32
2;3,5;-149,25
2;3,5;-149,21
2;3,49;-149,04
2;3,49;-149,01
2;3,48;-149,01
2;3,47;-149,12
