Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
100;898,39;-40,95;-4228;-18260;3488;7102;-564;97
100;411,28;-15,03;-1252;-12376;7928;6624;-1726;-186
100;60,37;-29,63;10780;-11824;9312;-7190;372;-140
100;-90,77;-46,61;7612;-17260;4720;-5389;-315;-185
100;-126,9;-2,88;-4512;-16520;5584;6309;-899;-229
100;-134,67;22,24;-6168;-12248;7844;1443;-617;141
100;-146,6;35,38;-3960;-14844;7084;-5598;731;-217
100;-130,5;4,15;7080;-15912;5552;-430;-681;49
100;-102,13;10,91;-2000;-14112;7588;3258;-132;147
100;-81,35;-9,98;8388;-13144;7492;-1317;-78;237
100;-67,39;4,09;-3668;-15456;7148;-2573;-109;-38
100;-45,0;9,01;-1152;-14492;6848;435;477;-39
100;-22,85;18,52;-3672;-14008;7240;789;360;65
100;-11,06;17,71;-796;-13812;6788;-1291;562;136
100;1,94;3,59;3464;-14132;7172;-704;514;43
100;12,3;-6,39;2532;-14716;6292;83;396;201
100;21,13;-16,65;4172;-13432;7260;-516;517;163
100;24,71;-14,35;608;-14260;6296;-369;650;447
100;29,1;-17,82;3016;-13964;7744;-534;845;390
100;31,71;-19,58;2188;-14100;6944;-58;502;209
100;34,05;-30,29;6180;-14300;6936;-524;307;-88
100;34,74;-41,88;6252;-15164;6356;-381;-959;-115
100;32,32;-22,27;-2692;-15020;6332;-469;-612;-61
100;30,45;-27,25;3440;-15440;6276;-395;-997;58
100;31,01;-27,5;3768;-13452;6824;-320;296;284
100;34,57;-33,46;7652;-13716;7964;-359;337;218
100;32,19;-18,68;-1764;-14908;7200;-419;-937;-189
100;31,39;6,34;-6212;-15036;6304;-590;-409;55
100;28,73;10,0;-1052;-14792;6188;-245;-1040;69
100;27,58;-4,21;3916;-15032;5796;-153;-834;-76
100;27,71;-20,23;6108;-14924;5672;-396;-692;73
100;26,05;-10,16;-1528;-15304;6684;-362;-1119;-204
100;25,32;-7,4;388;-14972;6756;-197;-758;-165
100;25,97;10,35;-4508;-14636;6404;-326;-395;61
100;26,67;25,49;-5272;-14932;6108;-314;-430;22
100;28,79;37,41;-6240;-14644;6908;-326;-76;68
100;28,85;40,97;-4160;-14948;7140;-413;110;-177
100;28,96;44,72;-4756;-14956;6604;-321;264;40
100;28,97;42,17;-3376;-13992;7012;-420;181;-39
100;28,41;37,64;-2304;-14488;7228;-425;858;132
100;26,98;35,75;-3232;-15156;6260;-414;376;120
100;25,66;22,66;-728;-15108;6680;-368;-930;75
100;27,57;-8,13;6900;-14812;5840;-374;-797;-41
100;29,18;-30,52;7196;-15008;6216;-484;-858;-72
100;31,13;-39,77;6516;-14368;7220;-479;584;275
100;31,84;-33,02;1252;-13976;8296;-278;439;185
100;29,09;-38,25;3484;-15432;5824;-412;-788;-67
100;27,55;-18,5;-3140;-14932;6268;-387;-759;-222
100;29,05;7,73;-7092;-15176;6204;-358;-55;135
100;29,29;19,95;-3708;-14476;7256;-341;375;228
100;28,8;10,59;2360;-14016;7356;-538;324;194
100;29,56;-4,13;5120;-14184;6776;-423;727;-59
100;28,11;1,84;-1156;-13968;6604;-421;583;48
100;26,68;8,57;-1904;-15284;6732;-388;622;-78
100;26,98;20,28;-5056;-15240;5772;-158;-613;-46
100;27,67;-4,91;6020;-15024;5916;-365;-886;111
100;30,16;-21,47;7616;-13996;6868;-683;553;51
100;30,11;-19,07;1176;-13972;7212;-157;502;58
100;31,93;-28,58;6296;-13984;7668;-555;424;312
100;30,75;-22,96;1140;-14028;7316;-418;672;145
100;30,96;-27,89;4352;-14024;7072;-373;332;199
