Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
60;1,39;-143,75;560;-16660;-800;-323;-29;70
60;0,54;-144,28;628;-16656;-672;-301;-50;73
60;0,5;-143,98;636;-16552;-820;-298;-71;72
60;0,66;-144,19;636;-16696;-672;-310;-42;66
60;0,58;-144,37;628;-16636;-824;-328;-72;59
60;0,75;-144,52;644;-16712;-824;-328;-50;77
60;0,66;-144,09;620;-16716;-704;-310;-26;72
60;0,73;-143,89;588;-16592;-680;-314;-14;71
60;0,66;-144,14;572;-16684;-844;-308;-24;71
60;0,61;-143,89;652;-16576;-780;-318;-20;83
60;0,71;-143,65;564;-16612;-740;-316;-53;95
60;0,71;-143,44;640;-16568;-840;-316;-29;91
60;0,84;-143,56;568;-16680;-732;-318;-26;78
60;0,81;-143,85;560;-16632;-856;-319;-34;92
60;0,93;-143,8;612;-16660;-796;-314;-34;87
60;0,9;-144,18;564;-16656;-812;-312;-39;86
60;1,04;-144,29;612;-16608;-876;-322;-16;59
60;1,02;-144,0;600;-16628;-752;-318;-28;53
60;1,01;-143,9;628;-16680;-772;-329;-37;80
60;1,13;-144,08;576;-16708;-884;-329;-53;75
60;1,14;-144,28;676;-16708;-884;-324;-14;72
60;1,22;-143,99;560;-16644;-872;-312;-22;69
60;1,19;-143,61;592;-16700;-776;-334;-17;89
60;1,27;-143,26;652;-16612;-836;-320;-38;81
60;1,28;-143,67;580;-16720;-860;-314;-31;71
60;1,36;-143,51;620;-16600;-772;-326;-33;77
60;1,34;-143,27;536;-16656;-676;-319;-50;60
60;1,35;-143,34;580;-16624;-764;-318;-45;68
60;1,44;-143,68;536;-16648;-800;-320;-42;98
60;1,46;-143,79;588;-16556;-828;-306;-32;84
60;1,56;-143,98;632;-16640;-824;-323;-58;65
60;1,56;-143,78;636;-16620;-700;-314;-23;76
60;1,64;-143,66;592;-16672;-852;-316;-33;75
60;1,63;-143,2;660;-16720;-740;-325;-29;62
60;1,73;-143,35;636;-16648;-860;-311;-8;91
60;1,74;-143,52;532;-16552;-796;-320;-31;68
60;1,73;-143,3;592;-16580;-688;-318;-11;79
60;1,79;-143,42;624;-16572;-800;-320;-31;61
60;1,82;-143,36;732;-16628;-828;-326;-43;106
60;1,87;-143,32;520;-16532;-768;-312;-32;63
60;1,87;-143,04;660;-16592;-772;-309;-49;78
60;1,94;-142,91;636;-16608;-828;-327;-47;85
60;1,94;-143,11;604;-16604;-820;-333;-40;63
60;1,97;-143,1;608;-16632;-752;-311;-21;78
60;1,97;-143,17;584;-16652;-808;-318;-45;75
60;1,99;-143,32;608;-16560;-832;-314;-50;78
60;2,05;-143,02;728;-16636;-684;-321;-53;71
60;2,05;-142,62;656;-16624;-708;-310;-32;110
60;2,09;-142,74;536;-16616;-776;-329;-37;81
60;2,1;-142,59;616;-16612;-772;-324;-47;88
60;2,14;-142,67;644;-16700;-740;-346;-30;73
60;2,15;-142,56;680;-16696;-784;-310;-26;78
60;2,19;-142,59;572;-16600;-888;-317;-24;88
60;2,2;-142,66;508;-16624;-748;-318;-23;59
60;2,22;-142,62;688;-16608;-812;-313;-30;74
60;2,27;-142,41;580;-16556;-740;-308;-19;65
60;2,28;-142,18;684;-16676;-856;-324;-45;73
60;2,32;-142,12;540;-16732;-928;-319;-37;61
60;2,33;-142,34;560;-16528;-872;-308;-53;72
60;2,38;-142,22;664;-16580;-744;-323;-35;81
60;2,39;-142,19;660;-16632;-784;-318;-33;67
