Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur
60;4,22;-138,06;560;-16608;-608;-312;-31;86;55,69
60;3,67;-140,11;608;-16640;-812;-331;-16;107;56,29
60;3,48;-141,79;472;-16644;-832;-315;-41;74;56,43
60;3,25;-142,37;476;-16632;-688;-311;-32;81;56,73
60;3,07;-142,88;500;-16660;-708;-313;-20;82;56,88
60;2,91;-143,33;480;-16656;-636;-336;-29;92;56,99
60;2,77;-143,5;628;-16640;-700;-318;-42;78;57,24
60;2,67;-143,55;612;-16620;-684;-313;-35;70;57,3
60;2,56;-143,7;580;-16624;-760;-321;1;82;57,37
60;2,54;-144,23;492;-16640;-828;-313;-36;111;57,48
60;2,43;-145,01;508;-16636;-800;-327;-35;88;57,54
60;2,36;-144,81;684;-16648;-684;-331;-16;100;57,58
60;2,32;-144,71;564;-16612;-732;-319;-32;76;57,7
60;2,29;-144,94;664;-16680;-880;-315;-33;93;57,71
60;2,26;-145,54;552;-16640;-828;-340;-28;110;57,7
60;2,28;-145,37;616;-16700;-736;-337;-15;73;57,74
60;2,25;-145,34;580;-16560;-776;-331;-21;60;57,74
60;2,21;-145,03;616;-16656;-692;-331;-12;80;57,75
60;2,2;-145,31;448;-16612;-708;-321;-24;86;57,81
60;2,16;-145,52;588;-16664;-824;-314;-1;70;57,84
60;2,14;-145,6;568;-16636;-776;-325;4;79;57,83
60;2,15;-145,62;512;-16596;-608;-325;-21;96;57,86
60;2,14;-146,07;636;-16616;-824;-322;-27;99;57,88
60;2,09;-145,98;592;-16728;-588;-338;6;100;57,87
60;2,13;-146,28;552;-16736;-708;-322;-13;80;57,89
60;2,12;-146,31;612;-16640;-764;-313;-17;78;57,88
60;2,11;-146,31;608;-16660;-752;-315;-29;83;57,87
60;2,14;-146,36;496;-16632;-732;-326;-28;85;57,88
60;2,14;-146,68;520;-16672;-820;-334;-22;114;57,87
60;2,14;-146,89;488;-16556;-820;-322;-31;72;57,85
60;2,15;-146,58;536;-16676;-732;-339;-38;78;57,88
60;2,15;-146,6;604;-16596;-796;-327;-39;83;57,86
60;2,16;-146,66;504;-16688;-744;-329;4;70;57,82
60;2,19;-146,3;572;-16608;-708;-338;-33;91;57,84
60;2,18;-146,49;456;-16744;-680;-332;12;84;57,82
60;2,17;-146,15;648;-16732;-600;-330;-1;87;57,82
60;2,21;-145,91;604;-16708;-644;-334;-4;97;57,81
60;2,21;-145,85;608;-16604;-800;-337;-10;94;57,8
60;2,21;-145,55;640;-16692;-752;-329;-9;91;57,78
60;2,24;-145,53;500;-16648;-740;-322;-24;87;57,78
60;2,24;-145,66;532;-16732;-756;-334;-21;98;57,77
60;2,23;-145,4;676;-16668;-720;-318;6;97;57,76
60;2,26;-145,44;596;-16584;-704;-313;-37;90;57,76
60;2,26;-145,52;608;-16740;-764;-316;27;103;57,75
60;2,26;-145,56;532;-16608;-704;-344;-14;94;57,72
60;2,28;-145,24;532;-16636;-660;-326;-36;100;57,73
60;2,28;-145,18;540;-16656;-836;-323;-7;88;57,73
60;2,3;-145,34;592;-16688;-788;-315;-25;84;57,7
60;2,33;-145,26;560;-16712;-736;-307;-20;86;57,69
60;2,34;-145,17;616;-16724;-804;-322;-39;82;57,67
60;2,35;-145,25;552;-16624;-864;-333;-24;71;57,65
60;2,41;-145,47;528;-16640;-888;-331;-20;69;57,62
60;2,4;-145,37;600;-16624;-736;-330;-25;101;57,61
60;2,4;-144,98;644;-16564;-584;-325;-42;98;57,59
60;2,42;-144,85;572;-16688;-596;-307;-52;74;57,59
60;2,42;-144,9;472;-16680;-724;-311;-19;87;57,58
60;2,43;-145,03;552;-16636;-680;-325;-5;70;57,56
60;2,46;-145,12;616;-16640;-732;-332;-27;68;57,56
60;2,46;-145,4;520;-16664;-780;-316;-34;92;57,55
60;2,46;-145,07;568;-16628;-652;-323;-5;91;57,53
60;2,51;-145,23;632;-16732;-888;-335;-30;104;57,52
60;2,51;-144,91;624;-16700;-712;-306;-22;63;57,49
60;2,53;-144,77;596;-16580;-736;-326;-1;85;57,47
60;2,56;-144,58;584;-16660;-604;-321;-10;87;57,44
60;2,56;-144,42;596;-16612;-688;-317;0;100;57,44
60;2,55;-144,35;552;-16656;-592;-322;-22;89;57,43
60;2,58;-144,42;716;-16712;-692;-317;-25;88;57,44
60;2,56;-144,4;552;-16636;-708;-319;11;102;57,44
60;2,56;-144,39;600;-16660;-616;-312;0;108;57,43
60;2,58;-144,37;596;-16612;-612;-317;7;115;57,43
60;2,57;-144,39;456;-16684;-656;-339;-15;93;57,42
60;2,59;-144,33;584;-16632;-664;-335;-36;88;57,41
60;2,61;-144,1;596;-16628;-680;-333;-7;68;57,4
60;2,62;-143,88;656;-16688;-796;-313;0;93;57,39
60;2,62;-143,76;568;-16656;-672;-314;-9;80;57,37
60;2,61;-143,23;608;-16640;-528;-331;-37;94;57,39
60;2,63;-143,11;652;-16632;-680;-320;-25;71;57,38
60;2,63;-143,05;608;-16660;-732;-318;-21;98;57,37
60;2,65;-143,08;500;-16652;-804;-307;-24;116;57,37
60;2,66;-143,16;544;-16672;-788;-307;-24;100;57,35
60;2,66;-143,24;600;-16652;-728;-324;0;99;57,34
60;2,67;-143,12;616;-16632;-584;-342;-12;90;57,33
60;2,67;-143,19;560;-16760;-684;-328;-36;63;57,33
60;2,68;-143,15;620;-16692;-724;-323;-22;78;57,32
60;2,72;-143,31;552;-16596;-780;-324;-2;80;57,3
60;2,73;-143,29;504;-16696;-856;-315;-13;90;57,28
60;2,72;-143,13;576;-16700;-608;-316;-7;89;57,27
60;2,75;-143,14;592;-16732;-812;-338;-9;95;57,27
60;2,76;-143,15;564;-16564;-684;-324;-31;78;57,24
60;2,78;-143,24;560;-16596;-820;-327;-22;87;57,23
60;2,8;-143,08;640;-16660;-820;-326;-18;59;57,22
60;2,8;-143,08;528;-16624;-640;-325;-12;92;57,2
60;2,79;-143,0;528;-16560;-556;-331;-3;93;57,2
60;2,8;-142,74;660;-16660;-652;-319;-23;87;57,21
60;2,8;-142,65;680;-16632;-760;-315;-21;97;57,21
60;2,82;-142,84;496;-16708;-864;-334;1;104;57,18
60;2,83;-142,87;532;-16692;-780;-326;-20;104;57,17
60;2,84;-143,08;532;-16608;-856;-324;-51;92;57,18
60;2,84;-143,22;520;-16748;-776;-311;-13;91;57,16
60;2,85;-143,12;528;-16688;-704;-327;-26;93;57,15
60;2,85;-143,11;608;-16704;-780;-324;-5;77;57,16
60;2,84;-143,16;488;-16552;-656;-317;-19;85;57,15
60;2,85;-143,37;524;-16708;-708;-338;8;78;57,15
60;2,85;-143,51;544;-16668;-760;-321;8;94;57,15
60;2,86;-143,57;500;-16600;-740;-326;-5;81;57,14
60;2,88;-143,88;504;-16616;-876;-326;-8;75;57,13
60;2,88;-143,84;572;-16684;-728;-309;-38;75;57,12
60;2,89;-143,7;576;-16704;-784;-315;-38;86;57,11
60;2,9;-143,83;612;-16564;-840;-311;-30;79;57,11
60;2,91;-143,79;552;-16696;-752;-309;-2;72;57,1
60;2,91;-143,8;588;-16644;-776;-321;-18;94;57,1
60;2,91;-143,63;600;-16740;-664;-324;-7;94;57,09
60;2,92;-143,67;496;-16672;-792;-320;-21;96;57,08
60;2,92;-143,53;512;-16648;-712;-327;-20;79;57,07
60;2,93;-143,41;672;-16568;-760;-308;-28;76;57,08
60;2,92;-143,18;480;-16684;-664;-326;-6;95;57,07
60;2,93;-143,34;552;-16520;-904;-310;-20;78;57,09
60;2,94;-143,21;620;-16644;-768;-324;0;87;57,07
60;2,96;-143,25;616;-16732;-824;-328;-21;89;57,05
60;2,97;-143,43;556;-16672;-848;-331;-26;79;57,04
60;3,0;-143,34;612;-16724;-844;-335;-5;108;57,01
60;3,01;-143,25;656;-16620;-680;-328;0;94;57,0
60;3,01;-143,09;616;-16644;-624;-339;-38;71;56,98
60;3,01;-142,99;508;-16748;-680;-333;9;82;56,99
60;3,02;-142,96;596;-16648;-748;-324;2;69;56,99
60;3,01;-142,73;572;-16772;-580;-336;7;90;56,98
60;3,01;-142,44;552;-16656;-552;-323;-26;109;56,98
60;3,01;-142,53;568;-16604;-776;-321;3;88;57,0
60;3,01;-142,61;440;-16680;-740;-336;-42;66;56,99
60;3,0;-142,2;624;-16564;-544;-319;-9;77;56,99
60;3,02;-142,24;548;-16728;-872;-321;-16;110;56,99
60;3,03;-142,25;612;-16632;-808;-322;-15;85;56,98
60;3,05;-142,25;600;-16660;-704;-322;16;105;56,96
60;3,04;-142,07;564;-16732;-616;-313;-16;74;56,95
60;3,04;-142,01;576;-16664;-648;-329;-22;82;56,95
60;3,05;-141,94;580;-16664;-700;-324;-48;72;56,96
60;3,05;-141,89;668;-16696;-724;-330;-16;83;56,96
60;3,05;-142,01;488;-16640;-780;-328;-7;75;56,95
60;3,06;-141,96;612;-16660;-752;-336;-40;97;56,94
60;3,06;-141,71;688;-16648;-752;-324;-16;75;56,95
60;3,05;-141,61;640;-16668;-756;-316;-18;76;56,95
60;3,05;-141,54;532;-16764;-728;-331;-30;70;56,95
60;3,05;-141,43;632;-16676;-612;-303;-17;79;56,95
60;3,06;-141,43;584;-16720;-764;-343;-3;104;56,95
60;3,07;-141,42;640;-16624;-748;-324;-2;103;56,94
60;3,08;-141,31;540;-16544;-636;-331;-12;84;56,92
60;3,07;-141,35;560;-16684;-708;-327;-10;81;56,92
60;3,09;-141,39;588;-16644;-724;-329;-36;90;56,91
60;3,1;-141,35;680;-16592;-736;-329;1;103;56,91
60;3,09;-141,01;616;-16632;-604;-319;1;74;56,9
60;3,07;-140,99;540;-16664;-556;-315;-6;93;56,92
60;3,08;-141,06;576;-16652;-760;-328;-6;79;56,93
60;3,09;-141,08;596;-16640;-732;-314;-23;91;56,91
60;3,09;-141,16;632;-16660;-692;-330;-18;84;56,91
60;3,08;-141,39;432;-16732;-704;-326;-10;105;56,91
60;3,09;-141,45;628;-16652;-744;-318;-3;89;56,91
60;3,09;-141,61;520;-16704;-724;-326;-11;89;56,91
