Gas;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
0;79,49;-118,35;776;-16680;-760;-323;-18;97;0,0;0,0;0,0
0;44,23;-126,53;672;-16696;-696;-328;-14;109;0,0;0,0;0,0
0;30,96;-128,95;684;-16668;-660;-311;-8;101;0,0;0,0;0,0
0;23,81;-132,8;604;-16656;-832;-336;-25;106;0,0;0,0;0,0
0;19,12;-133,63;688;-16632;-716;-333;-12;95;0,0;0,0;0,0
0;15,59;-135,69;572;-16672;-780;-325;-1;61;0,0;0,0;0,0
0;12,78;-136,68;632;-16660;-752;-334;-18;89;0,0;0,0;0,0
0;10,4;-137,75;604;-16632;-756;-321;-10;88;0,0;0,0;0,0
0;8,39;-138,12;684;-16572;-760;-317;-5;87;0,0;0,0;0,0
0;6,65;-138,13;720;-16604;-748;-339;-10;59;0,0;0,0;0,0
0;5,11;-138,84;600;-16664;-732;-326;-6;79;0,0;0,0;0,0
0;3,82;-139,08;680;-16764;-764;-336;-10;56;0,0;0,0;0,0
0;2,78;-139,47;704;-16648;-824;-330;-6;51;0,0;0,0;0,0
0;1,89;-139,34;724;-16744;-768;-328;-39;80;0,0;0,0;0,0
0;1,17;-139,15;728;-16696;-764;-321;-11;38;0,0;0,0;0,0
0;0,68;-140,22;712;-16584;-992;-330;-9;87;0,0;0,0;0,0
0;0,28;-140,52;752;-16764;-904;-335;-16;71;0,0;0,0;0,0
0;-0,03;-140,58;756;-16652;-868;-326;-14;83;0,0;0,0;0,0
0;-0,3;-140,53;720;-16604;-812;-326;-19;67;0,0;0,0;0,0
0;-0,49;-140,45;728;-16712;-816;-367;-18;82;0,0;0,0;0,0
0;-0,66;-140,46;684;-16832;-784;-329;-28;90;0,0;0,0;0,0
0;-0,8;-140,88;604;-16680;-768;-331;-7;63;0,0;0,0;0,0
0;-0,88;-140,33;724;-16756;-732;-338;-28;95;0,0;0,0;0,0
0;-0,9;-140,77;668;-16700;-860;-316;3;90;0,0;0,0;0,0
0;-0,88;-141,46;640;-16528;-896;-333;-9;76;0,0;0,0;0,0
0;-0,95;-140,43;652;-16624;-584;-346;-10;94;0,0;0,0;0,0
0;-0,92;-139,7;764;-16700;-724;-338;7;123;0,0;0,0;0,0
0;-0,88;-139,51;720;-16696;-776;-330;-9;102;0,0;0,0;0,0
0;-0,82;-138,88;776;-16700;-736;-331;-40;102;0,0;0,0;0,0
0;-0,78;-137,92;712;-16676;-600;-342;-31;96;0,0;0,0;0,0
0;-0,71;-137,49;776;-16664;-748;-336;-7;123;0,0;0,0;0,0
0;-0,69;-136,75;716;-16632;-620;-328;-15;86;0,0;0,0;0,0
0;-0,61;-137,01;700;-16584;-812;-317;-13;100;0,0;0,0;0,0
0;-0,52;-137,69;628;-16676;-848;-347;3;110;0,0;0,0;0,0
0;-0,46;-137,89;660;-16716;-772;-340;-18;78;0,0;0,0;0,0
0;-0,42;-137,89;664;-16680;-728;-341;-29;71;0,0;0,0;0,0
0;-0,37;-138,06;632;-16712;-736;-320;15;68;0,0;0,0;0,0
0;-0,31;-137,72;740;-16680;-724;-340;-3;60;0,0;0,0;0,0
0;-0,22;-138,67;592;-16700;-924;-326;7;79;0,0;0,0;0,0
0;-0,13;-138,97;692;-16656;-864;-321;-27;52;0,0;0,0;0,0
0;-0,07;-139,48;608;-16680;-832;-334;0;75;0,0;0,0;0,0
0;-0,01;-139,62;652;-16580;-784;-339;-18;68;0,0;0,0;0,0
0;0,08;-139,72;716;-16684;-852;-317;3;61;0,0;0,0;0,0
0;0,13;-139,78;648;-16548;-760;-307;-4;91;0,0;0,0;0,0
0;0,21;-140,04;700;-16784;-896;-327;-7;64;0,0;0,0;0,0
0;0,32;-140,21;748;-16572;-928;-314;17;78;0,0;0,0;0,0
0;0,39;-140,13;724;-16716;-812;-328;-3;90;0,0;0,0;0,0
0;0,47;-139,7;820;-16612;-792;-342;-15;89;0,0;0,0;0,0
0;0,55;-139,5;792;-16680;-832;-332;-15;76;0,0;0,0;0,0
0;0,59;-139,51;660;-16592;-760;-314;-1;77;0,0;0,0;0,0
0;0,66;-139,19;788;-16552;-780;-352;3;63;0,0;0,0;0,0
0;0,73;-139,33;728;-16808;-880;-320;-30;79;0,0;0,0;0,0
0;0,82;-139,33;788;-16668;-900;-324;18;85;0,0;0,0;0,0
0;0,86;-139,36;684;-16632;-792;-337;25;125;0,0;0,0;0,0
0;0,91;-139,47;688;-16588;-828;-313;8;99;0,0;0,0;0,0
0;0,94;-138,8;780;-16660;-644;-323;-15;100;0,0;0,0;0,0
0;0,99;-138,87;684;-16580;-800;-330;19;105;0,0;0,0;0,0
0;1,05;-138,91;748;-16704;-860;-338;5;110;0,0;0,0;0,0
0;1,06;-138,99;620;-16768;-732;-310;-19;90;0,0;0,0;0,0
0;1,07;-138,98;608;-16760;-684;-335;-18;75;0,0;0,0;0,0
0;1,11;-139,28;616;-16676;-816;-345;-7;85;0,0;0,0;0,0
0;1,14;-139,53;632;-16728;-824;-329;-8;87;0,0;0,0;0,0
0;1,16;-139,56;636;-16732;-740;-346;-39;99;0,0;0,0;0,0
