Angle;PositionX;PositionY;Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;3,24;-150,41;472;-16528;-812;-330;-4;82;56,76;1505,6;-0,0
60;3,24;-149,79;472;-16616;-732;-318;-22;103;56,74;1562,34;-0,01
60;3,23;-149,52;468;-16720;-660;-312;-6;73;56,74;1619,09;0,0
60;3,23;-149,51;480;-16548;-760;-310;-12;76;56,77;1675,85;0,02
60;3,25;-149,72;476;-16548;-976;-316;-43;74;56,78;1789,4;0,0
60;3,24;-149,55;512;-16592;-828;-303;-16;93;56,76;1846,17;-0,01
60;3,26;-149,61;440;-16608;-924;-328;-20;78;56,76;1902,92;-0,01
60;3,26;-149,66;456;-16640;-860;-306;-18;63;56,74;1959,66;-0,02
60;3,25;-149,05;488;-16584;-720;-334;-38;88;56,74;2073,13;0,0
60;3,27;-149,26;480;-16648;-956;-319;-30;81;56,75;2129,88;0,01
60;3,26;-149,19;456;-16692;-716;-333;-44;80;56,73;2186,61;-0,02
60;3,26;-149,14;468;-16628;-784;-314;-25;78;56,74;2243,35;0,01
60;3,25;-149,0;468;-16660;-752;-330;-40;72;56,75;2356,84;-0,0
60;3,27;-149,21;480;-16684;-892;-322;-1;74;56,74;2413,58;-0,01
60;3,28;-149,22;552;-16652;-864;-327;-56;82;56,73;2470,31;-0,01
60;3,28;-149,13;560;-16732;-764;-320;-22;95;56,72;2527,03;-0,01
60;3,28;-149,28;512;-16632;-896;-333;-31;81;56,73;2640,47;0,01
60;3,3;-149,36;488;-16680;-840;-320;-32;93;56,71;2697,18;-0,02
60;3,3;-149,25;508;-16596;-816;-308;-18;86;56,71;2753,88;-0,0
60;3,29;-149,21;416;-16584;-740;-325;-5;95;56,7;2810,58;-0,0
60;3,3;-149,29;468;-16624;-772;-316;-38;81;56,69;2923,97;-0,01
60;3,31;-149,46;468;-16636;-836;-326;-32;77;56,69;2980,66;0,0
60;3,35;-149,67;512;-16688;-928;-315;-39;69;56,66;3037,32;-0,02
60;3,36;-149,72;540;-16544;-856;-314;-23;97;56,65;3093,98;-0,01
60;3,32;-149,55;424;-16608;-668;-323;-11;49;56,67;3207,3;0,0
60;3,32;-149,54;464;-16704;-840;-322;5;79;56,68;3263,99;0,02
60;3,31;-149,33;472;-16704;-864;-323;-67;75;56,7;3320,68;0,01
60;3,29;-149,18;508;-16808;-772;-320;-29;73;56,71;3377,39;0,01
60;3,27;-149,01;516;-16540;-948;-317;-37;73;56,75;3490,87;0,01
60;3,26;-148,84;500;-16676;-712;-317;-17;92;56,73;3547,6;-0,02
60;3,26;-148,84;464;-16660;-752;-328;-57;80;56,74;3604,33;0,01
60;3,26;-148,81;496;-16700;-772;-335;-23;78;56,74;3661,08;0,01
60;3,26;-148,7;496;-16596;-744;-311;-14;88;56,74;3774,55;-0,01
60;3,26;-148,61;528;-16604;-740;-324;-36;93;56,74;3831,3;0,01
60;3,26;-148,58;508;-16632;-740;-311;-32;85;56,73;3888,03;-0,01
60;3,25;-148,29;512;-16596;-740;-316;-51;82;56,75;3944,77;0,02
60;3,23;-148,1;504;-16700;-708;-318;-17;90;56,76;4058,29;0,01
60;3,22;-148,22;540;-16680;-840;-319;-45;60;56,79;4115,08;0,02
60;3,22;-148,47;444;-16560;-820;-322;-37;84;56,78;4171,86;-0,01
60;3,2;-148,39;436;-16608;-804;-304;-47;64;56,79;4228,65;0,01
60;3,21;-148,75;416;-16624;-748;-327;-18;79;56,78;4342,22;-0,01
