Angle (°);PositionX (°);PositionY (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D;Time
60;56,87;-165,04;3776;-9552;-14160;-481;-15;77;3,13;-1331,28;-0,0;0
60;56,88;-165,03;3816;-9612;-14260;-490;-2;98;3,13;-1328,15;0,0;20
60;56,89;-165,03;3772;-9600;-14208;-497;19;74;3,11;-1325,05;-0,02;40
60;56,89;-165,03;3852;-9604;-14072;-461;-16;130;3,1;-1321,94;-0,0;60
60;56,88;-165,05;3796;-9596;-14120;-481;11;76;3,11;-1315,72;-0,0;80
60;56,89;-165,08;3680;-9500;-14216;-475;-4;95;3,12;-1312,6;0,01;100
60;56,89;-165,1;3716;-9632;-14228;-458;3;76;3,11;-1309,49;-0,01;120
60;56,88;-165,1;3796;-9596;-14192;-476;-1;69;3,12;-1306,37;0,01;140
60;56,88;-165,09;3860;-9612;-14144;-464;13;103;3,11;-1300,15;0,0;160
60;56,87;-165,11;3668;-9548;-14164;-485;35;83;3,13;-1297,02;0,02;180
60;56,85;-165,1;3772;-9588;-14152;-477;7;99;3,15;-1293,87;0,02;200
60;56,83;-165,08;3908;-9620;-14052;-460;-1;110;3,16;-1290,71;0,01;220
60;56,85;-165,08;3720;-9496;-14132;-489;3;71;3,15;-1284,4;-0,0;240
60;56,86;-165,06;3896;-9544;-14224;-505;2;138;3,15;-1281,25;0,0;260
60;56,87;-165,07;3776;-9564;-14300;-480;23;59;3,14;-1278,11;-0,01;280
60;56,87;-165,07;3676;-9600;-14108;-484;15;81;3,12;-1274,98;-0,02;300
60;56,87;-165,08;3768;-9664;-14232;-480;17;119;3,12;-1268,73;-0,0;320
60;56,87;-165,08;3736;-9564;-14188;-489;-1;89;3,13;-1265,6;0,01;340
60;56,89;-165,06;3808;-9508;-14268;-467;2;94;3,12;-1262,48;-0,0;360
60;56,89;-165,04;3840;-9548;-14164;-475;3;113;3,11;-1259,37;-0,01;380
60;56,88;-165,06;3708;-9640;-14104;-473;-11;74;3,11;-1253,15;0,01;400
60;56,87;-165,03;3912;-9584;-14056;-509;-11;111;3,12;-1250,03;0,01;420
60;56,87;-165,04;3704;-9596;-14228;-472;-8;54;3,13;-1246,9;0,01;440
60;56,88;-165,05;3812;-9532;-14168;-471;30;92;3,12;-1243,78;-0,01;460
60;56,89;-165,04;3796;-9544;-14224;-502;-3;94;3,12;-1237,55;0,01;480
60;56,89;-165,06;3716;-9528;-14160;-513;-7;81;3,12;-1234,43;0,0;500
60;56,89;-165,05;3788;-9652;-14192;-478;22;101;3,11;-1231,32;-0,01;520
60;56,89;-165,03;3812;-9484;-14208;-475;11;105;3,12;-1228,2;0,01;540
60;56,87;-165,02;3772;-9608;-14096;-486;0;105;3,12;-1221,97;0,0;560
60;56,89;-165,01;3844;-9500;-14216;-463;16;121;3,12;-1218,85;0,0;580
60;56,88;-165,03;3756;-9608;-14172;-489;3;52;3,12;-1215,73;-0,0;600
60;56,88;-165,04;3652;-9540;-14204;-473;1;106;3,12;-1212,6;0,0;620
60;56,85;-165,02;3740;-9604;-14140;-488;26;52;3,14;-1206,33;0,01;640
60;56,86;-165,03;3748;-9544;-14224;-466;0;84;3,14;-1203,19;0,0;660
60;56,86;-165,03;3800;-9564;-14108;-475;-15;77;3,14;-1200,05;-0,0;680
60;56,87;-165,03;3768;-9504;-14144;-469;-15;85;3,14;-1196,91;-0,0;700
60;56,86;-165,04;3688;-9596;-14144;-481;-16;132;3,14;-1190,64;0,01;720
60;56,85;-165,04;3780;-9652;-14056;-487;-4;68;3,14;-1187,5;0,0;740
60;56,84;-165,05;3664;-9592;-14160;-483;-12;94;3,16;-1184,34;0,02;760
60;56,83;-165,05;3792;-9624;-14092;-473;-34;114;3,16;-1181,18;0,0;780
60;56,85;-165,06;3748;-9576;-14272;-504;29;51;3,16;-1174,86;-0,01;800
60;56,85;-165,06;3684;-9460;-14068;-505;20;121;3,15;-1171,7;-0,0;820
60;56,84;-165,05;3788;-9624;-14204;-496;21;78;3,16;-1168,54;0,0;840
60;56,87;-165,05;3824;-9544;-14192;-464;18;111;3,14;-1165,41;-0,02;860
