Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw;Erreur P;Erreur I;Erreur D
60;0;1,41;-120,2;356;-16520;-216;-318;-40;48;58,6;1590,98;0,01
60;20;1,4;-120,14;408;-16516;-168;-317;-18;38;58,62;1649,6;0,02
60;40;1,43;-119,77;392;-16696;-380;-334;-23;59;58,6;1708,2;-0,01
60;60;1,45;-119,49;416;-16584;-228;-341;-1;60;58,56;1766,76;-0,04
60;80;1,44;-118,78;380;-16632;-100;-341;-3;42;58,56;1883,87;0,01
60;100;1,45;-118,66;336;-16556;-288;-332;-14;52;58,56;1942,43;0,0
60;120;1,45;-118,07;372;-16680;-128;-325;0;65;58,55;2000,98;-0,01
60;140;1,43;-117,5;424;-16576;-192;-363;-20;11;58,58;2059,56;0,03
60;160;1,41;-117,59;316;-16648;-132;-337;5;56;58,58;2176,71;0,0
60;180;1,39;-118,0;252;-16572;-176;-344;-27;55;58,59;2235,3;0,01
60;200;1,38;-117,57;396;-16536;-192;-333;-12;54;58,63;2293,93;0,04
60;220;1,37;-118,7;332;-16660;-220;-339;-24;54;58,63;2352,56;0,0
60;240;1,37;-118,04;408;-16572;-136;-325;-22;59;58,64;2469,82;0,01
60;260;1,35;-117,34;288;-16712;-180;-346;-20;67;58,65;2528,47;0,01
60;280;1,37;-116,58;464;-16568;-144;-334;-33;59;58,64;2587,11;-0,0
60;300;1,36;-116,54;296;-16652;-192;-324;-24;45;58,63;2645,74;-0,01
60;320;1,36;-116,92;376;-16608;-192;-330;14;58;58,64;2763,02;0,01
60;340;1,36;-116,1;384;-16728;-112;-326;-25;29;58,64;2821,65;-0,0
60;360;1,37;-116,52;360;-16484;-144;-325;-35;69;58,63;2880,28;-0,01
60;380;1,39;-116,23;368;-16672;-148;-320;-3;46;58,61;2938,89;-0,02
60;400;1,41;-116,46;400;-16728;-276;-328;-13;59;58,6;3056,09;-0,01
60;420;1,41;-116,21;332;-16584;-140;-348;-18;48;58,59;3114,68;-0,01
60;440;1,43;-116,54;404;-16632;-292;-334;-43;73;58,58;3173,26;-0,01
60;460;1,43;-116,88;396;-16596;-228;-331;-29;60;58,58;3231,84;-0,0
60;480;1,44;-116,25;464;-16560;-212;-309;-46;66;58,58;3348,99;0,0
60;500;1,43;-116,2;352;-16536;-196;-320;-23;66;58,57;3407,57;-0,0
60;520;1,42;-116,25;356;-16544;-160;-325;-20;75;58,58;3466,14;0,0
60;540;1,41;-115,74;412;-16600;-76;-334;2;58;58,59;3524,73;0,01
60;560;1,39;-115,38;368;-16552;-132;-352;-13;55;58,61;3641,94;0,01
60;580;1,4;-114,33;412;-16572;-76;-328;-21;43;58,61;3700,55;-0,01
60;600;1,39;-114,73;352;-16616;-196;-315;-6;59;58,61;3759,15;0,0
60;620;1,4;-114,7;348;-16664;-312;-324;-41;58;58,61;3817,76;-0,0
60;640;1,4;-114,72;376;-16640;-124;-333;-25;45;58,59;3934,96;-0,01
60;660;1,4;-114,63;424;-16648;-164;-337;-2;56;58,6;3993,56;0,01
60;680;1,41;-114,26;364;-16632;-212;-319;-23;66;58,59;4052,15;-0,01
60;700;1,39;-114,61;332;-16668;-256;-324;-24;58;58,61;4110,77;0,02
60;720;1,4;-114,17;496;-16632;-184;-318;-3;54;58,61;4227,98;0,01
60;740;1,41;-114,69;360;-16612;-348;-328;-33;60;58,6;4286,58;-0,01
60;760;1,4;-114,35;292;-16724;-128;-331;-27;67;58,59;4345,16;-0,01
60;780;1,42;-115,42;348;-16664;-296;-346;-9;60;58,59;4403,75;-0,0
60;800;1,42;-114,54;380;-16652;-176;-338;-26;56;58,58;4520,92;-0,0
60;820;1,42;-114,93;328;-16624;-204;-332;-15;52;58,57;4579,5;-0,01
60;840;1,44;-114,99;444;-16612;-188;-336;17;57;58,57;4638,06;-0,01
60;860;1,44;-113,97;420;-16588;-92;-344;9;63;58,56;4696,62;-0,01
60;880;1,43;-114,47;344;-16640;-80;-322;-2;69;58,56;4813,74;-0,01
60;900;1,44;-114,92;376;-16636;-240;-342;-32;63;58,57;4872,31;0,01
60;920;1,45;-115,2;432;-16620;-252;-333;-2;54;58,56;4930,87;-0,01
60;940;1,44;-115,92;308;-16604;-224;-342;-15;54;58,56;4989,43;-0,01
60;960;1,45;-116,25;364;-16492;-220;-328;9;53;58,55;5106,54;-0,0
60;980;1,45;-115,87;392;-16692;-168;-334;-21;54;58,55;5165,08;-0,01
60;1000;1,45;-115,87;344;-16536;-192;-315;6;63;58,55;5223,63;0,0
60;1020;1,45;-115,76;384;-16564;-184;-312;-8;56;58,55;5282,18;0,0
60;1040;1,45;-115,13;452;-16676;-128;-326;-34;67;58,56;5399,3;0,0
60;1060;1,47;-115,19;416;-16604;-224;-339;-8;50;58,53;5457,83;-0,03
