Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw;Ay Raw;Az Raw;Gx Raw;Gy Raw;Gz Raw
0;0;-37,37;-89,57;392;-16588;-148;-339;-27;47
0;20;-20,37;-108,29;340;-16600;-312;-326;-8;51
0;40;-13,66;-109,72;352;-16612;-148;-336;31;51
0;60;-9,92;-113,65;348;-16672;-252;-339;5;46
0;80;-7,58;-116,41;224;-16768;-168;-335;-5;54
0;100;-5,71;-115,35;500;-16632;-176;-346;-24;63
0;120;-4,33;-112,55;372;-16780;-44;-332;-11;74
0;140;-3,19;-111,1;360;-16720;-80;-332;1;46
0;160;-2,18;-111,98;392;-16596;-204;-352;-16;59
0;180;-1,3;-109,65;416;-16628;-36;-341;-19;64
0;200;-0,54;-108,98;360;-16600;-100;-338;-21;52
0;220;0,14;-108,55;396;-16680;-120;-346;-14;54
0;240;0,7;-107,38;308;-16756;-60;-343;-5;66
0;260;1,22;-107,44;364;-16584;-128;-354;1;46
0;280;1,68;-107,73;384;-16616;-148;-343;-7;67
0;300;2,06;-106,29;360;-16652;-52;-330;-17;67
0;320;2,4;-106,46;388;-16640;-136;-351;-21;57
0;340;2,66;-104,47;364;-16696;-20;-337;-20;41
0;360;2,9;-107,13;336;-16608;-252;-333;-17;80
0;380;3,04;-106,3;284;-16524;-60;-335;-10;45
0;400;3,2;-106,66;376;-16580;-140;-330;-23;66
0;420;3,36;-106,9;436;-16688;-156;-327;-2;61
0;440;3,45;-107,21;376;-16588;-140;-328;1;46
0;460;3,5;-109,77;256;-16616;-204;-332;-5;44
0;480;3,51;-112,34;216;-16580;-184;-339;-17;60
0;500;3,53;-113,04;300;-16616;-152;-332;-9;78
0;520;3,56;-114,89;316;-16612;-240;-347;10;68
0;540;3,56;-116,12;292;-16720;-192;-338;-1;43
0;560;3,57;-117,46;328;-16744;-232;-331;-9;56
0;580;3,57;-117,47;360;-16660;-164;-332;-33;68
0;600;3,56;-117,09;352;-16620;-136;-319;-31;62
0;620;3,56;-118,86;316;-16560;-272;-314;4;74
0;640;3,55;-117,48;396;-16644;-88;-347;-2;66
0;660;3,5;-118,79;256;-16608;-196;-350;-9;65
0;680;3,45;-119,14;252;-16536;-140;-339;7;65
0;700;3,42;-117,26;356;-16560;-44;-331;-32;52
0;720;3,39;-115,98;364;-16660;-76;-334;-1;30
0;740;3,35;-115,89;328;-16640;-140;-334;9;61
