Consigne Gaz (‰);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s)
0;0;60,65;-169,58;1,6041;-5,1451;-10,1916;0,0513;0,0055;0,0103
0;20;60,88;-169,71;1,64;-5,0661;-10,2624;0,0526;0,0013;0,0144
0;40;60,87;-169,66;1,6855;-5,114;-10,2161;0,0685;0,0063;0,0123
0;60;60,81;-169,68;1,6592;-5,1236;-10,1563;0,0617;0,0;0,0144
0;80;60,85;-169,71;1,664;-5,0589;-10,1916;0,0529;0,0079;0,0073
0;100;60,86;-169,66;1,7502;-5,0949;-10,2052;0,0556;-0,0031;0,0157
0;120;60,86;-169,72;1,6352;-5,0637;-10,0937;0,0616;0,0089;0,0095
0;140;60,88;-169,79;1,6448;-5,1068;-10,2896;0,0634;0,0051;0,0117
0;160;60,87;-169,85;1,6592;-5,1643;-10,2977;0,0574;0,004;0,0108
0;180;60,92;-169,92;1,6328;-5,0733;-10,3113;0,0552;0,0013;0,0092
0;200;60,89;-169,93;1,7071;-5,1834;-10,2433;0,0578;0,0064;0,0117
0;220;60,89;-169,96;1,6879;-5,138;-10,2814;0,0633;0,006;0,006
0;240;60,91;-169,98;1,6831;-5,0901;-10,2107;0,0637;0,002;0,0116
0;260;60,9;-170,03;1,6209;-5,1068;-10,1671;0,0566;0,0077;0,0108
0;280;60,91;-170,06;1,6855;-5,1475;-10,3603;0,0533;0,0005;0,0115
0;300;60,92;-170,09;1,6807;-5,1044;-10,2732;0,0588;0,0056;0,0089
0;320;60,9;-170,13;1,6305;-5,1356;-10,1726;0,0609;-0,0009;0,0149
0;340;60,93;-170,15;1,6568;-5,0518;-10,2488;0,0616;0,0033;0,0081
0;360;60,95;-170,19;1,6281;-5,0589;-10,1943;0,0566;0,0027;0,01
0;380;60,94;-170,22;1,6328;-5,1092;-10,2324;0,0512;0,0033;0,012
0;400;60,94;-170,26;1,6113;-5,0949;-10,1943;0,059;0,0;0,0124
0;420;60,94;-170,26;1,6592;-5,1044;-10,178;0,0642;0,0003;0,0153
0;440;60,95;-170,27;1,6448;-5,0518;-10,1726;0,0602;0,0075;0,0095
0;460;60,97;-170,31;1,5802;-5,0446;-10,2297;0,0593;0,0024;0,0133
0;480;60,97;-170,33;1,6257;-5,102;-10,1726;0,0693;0,0007;0,0129
0;500;60,98;-170,37;1,5754;-5,102;-10,3331;0,0521;0,0044;0,0111
0;520;60,93;-170,4;1,5969;-5,193;-10,2216;0,0474;-0,0003;0,0124
0;540;60,91;-170,38;1,6592;-5,0973;-10,1046;0,061;0,0052;0,0113
0;560;60,91;-170,39;1,6017;-5,1236;-10,2188;0,0679;0,0004;0,0137
0;580;60,9;-170,37;1,6735;-5,0996;-10,1563;0,0616;0,0041;0,0105
0;600;60,91;-170,38;1,5874;-5,0661;-10,2515;0,0445;0,0085;0,0068
0;620;60,89;-170,38;1,6281;-5,0996;-10,1318;0,0612;0,0017;0,0112
0;640;60,9;-170,36;1,652;-5,114;-10,2379;0,0665;0,0039;0,0088
0;660;60,89;-170,34;1,6568;-5,1284;-10,2542;0,0605;0,0044;0,0111
0;680;60,88;-170,32;1,6568;-5,1332;-10,2406;0,053;0,0068;0,0087
0;700;60,88;-170,33;1,6209;-5,0925;-10,2433;0,0529;0,0003;0,0111
0;720;60,89;-170,28;1,7095;-5,0973;-10,2079;0,0633;0,0049;0,0133
0;740;60,92;-170,29;1,6137;-5,0566;-10,2787;0,0661;0,0012;0,008
0;760;60,91;-170,22;1,7454;-5,1044;-10,178;0,0544;-0,0011;0,0161
0;780;60,89;-170,24;1,5945;-5,1092;-10,1862;0,0536;-0,0015;0,0161
0;800;60,91;-170,2;1,6783;-5,035;-10,1671;0,0618;0,0;0,0108
0;820;60,93;-170,2;1,6257;-5,0446;-10,2352;0,0594;0,0021;0,0117
0;840;60,92;-170,16;1,7071;-5,1212;-10,2052;0,057;0,0032;0,0119
0;860;60,91;-170,18;1,5682;-5,1188;-10,2107;0,0582;0,0024;0,0097
0;880;60,89;-170,19;1,5969;-5,1212;-10,1943;0,0592;0,0003;0,0119
0;900;60,9;-170,16;1,6688;-5,0661;-10,178;0,057;0,0057;0,0108
0;920;60,9;-170,16;1,6305;-5,1356;-10,3005;0,0577;0,0017;0,0131
0;940;60,93;-170,15;1,6496;-5,0254;-10,246;0,0585;-0,0007;0,0121
0;960;60,92;-170,14;1,6305;-5,1427;-10,2515;0,0606;0,0017;0,0135
0;980;60,92;-170,14;1,6113;-5,0829;-10,2216;0,059;0,0044;0,0092
0;1000;60,91;-170,13;1,6424;-5,1427;-10,2596;0,058;0,0012;0,0105
0;1020;60,92;-170,12;1,6376;-5,0661;-10,2624;0,058;0,0045;0,0124
0;1040;60,93;-170,09;1,6951;-5,0877;-10,2596;0,0554;0,0052;0,0091
