Consigne Angle (°);Time (ms);Position Angulaire X (°);Position Angulaire Y (°);Ax Raw (m/s²);Ay Raw (m/s²);Az Raw (m/s²);Gx Raw (rad/s);Gy Raw (rad/s);Gz Raw (rad/s);Erreur P (°);Erreur I (°);Erreur D (°)
55;0;3,59;-140,6;0,4214;-10,0006;-0,4843;0,0493;-0,0015;0,0053;51,41;102,65;0,16
55;20;3,58;-140,5;0,395;-9,9958;-0,5414;0,0508;0,0061;0,0073;51,42;154,07;0,02
55;40;3,63;-141,18;0,3974;-10,0102;-0,604;0,0478;0,0016;0,0075;51,37;205,44;-0,05
55;60;3,6;-139,81;0,4334;-9,9383;-0,4843;0,045;0,0048;0,0088;51,4;256,84;0,03
55;80;3,58;-139,42;0,4118;-10,0461;-0,5142;0,0456;0,0045;0,0057;51,42;308,26;0,02
55;100;3,55;-139,75;0,3663;-9,9814;-0,5278;0,0473;0,0045;0,008;51,45;359,71;0,03
55;120;3,58;-140,74;0,3591;-10,0293;-0,6285;0,0486;0,0023;0,0087;51,42;411,14;-0,03
55;140;3,57;-140,51;0,4046;-10,0221;-0,5278;0,0502;0,0053;0,0071;51,43;462,57;0,01
55;160;3,57;-139,58;0,4621;-9,9958;-0,487;0,0498;-0,0015;0,0052;51,43;513,99;-0,0
55;180;3,6;-139,64;0,419;-9,9671;-0,5741;0,0481;0,0009;0,0076;51,4;565,4;-0,02
55;200;3,62;-139,58;0,431;-10,0102;-0,5713;0,0465;0,0056;0,0037;51,38;616,78;-0,02
55;220;3,59;-139,36;0,3926;-9,9647;-0,4924;0,0482;0,0035;0,0064;51,41;668,19;0,03
55;240;3,56;-139,67;0,3591;-10,0461;-0,5333;0,0465;0,0048;0,0067;51,44;719,63;0,03
55;260;3,5;-139,68;0,3376;-9,9718;-0,4571;0,048;0,0041;0,0059;51,5;771,13;0,06
55;280;3,51;-140,17;0,3663;-10,0054;-0,5822;0,0458;0,004;0,008;51,49;822,62;-0,0
55;300;3,51;-140,45;0,3807;-10,0054;-0,5686;0,0498;0,0008;0,006;51,49;874,11;-0,01
55;320;3,53;-140,8;0,3855;-9,9479;-0,5931;0,0478;0,0016;0,0071;51,47;925,57;-0,02
